#Primary Amplitude      Error                     Width              Secondary Amp           Error                SWidth
0.9758249028454442      0.0033648869199174        11.0               0.8693340886331428      0.00463863509132     7.894496347557173
0.8286092770955522      0.004047031013004027      10.80529598512     0.8687237211083073      0.00434689563690     9.094282836687226
0.9140936986124801      0.003340588167267698      11.0               0.8774412689976618      0.00426096533937     9.46168837641035 
0.7290144985796457      0.0032058556876012933     11.0               0.8755684952350419      0.00336292254768     10.0 
0.7172412058341145      0.0032028100888544546     11.0               1.0064835411372226      0.00335913556015     10.0 
0.9541388561893982      0.00436594873050174       9.227742460725     0.8211478371217835      0.00469542787118     7.930723032004820
0.8901610728755787      0.003657316362413777      11.0               0.6885856784591561      0.00424165328562     9.516758416992394
0.9647772987643789      0.0032753366857952515     11.0               0.9037705831065345      0.00469352226928     7.7303737663195 x
0.9940260634509531      0.004145772043019568      10.24896247692     0.8985203412891247      0.00446803988062     8.631492471689862
0.8518824527567338      0.004498040384837967      8.686534621774     0.8712138378491738      0.00511457911620     10.0 
0.9113262683295345      0.004107490259743922      10.12132246873     0.7919805224706947      0.00337950914949     10.0 
0.9638552505417913      0.0032173709840118006     11.0               0.8997124926813602      0.00429369117257     9.237590383243049
0.9958177882810086      0.004132114092543923      10.10099406869     0.9223717772986654      0.00437421966713     8.968915014868331
0.9499031316745682      0.0040256558554911        10.69518066587     0.9271200850666765      0.00447899105978     8.540977110255103
0.8512939637220913      0.0032354656764644963     11.0               0.7718060103602287      0.00421955148932     9.601532084680118
0.9162476127217802      0.0032239652310151216     11.0               0.9225367943844442      0.00451661015319     8.348098823879308
0.9571657054543398      0.0032636695017862673     11.0               0.8547069283398141      0.00436880721789     8.96437753033139 
0.9241370543627561      0.004045579580458441      10.81388095143     0.8739388361004906      0.00461666142132     8.021276900560306
0.9870539832658595      0.004120539154908805      10.40680671609     0.834425383899104       0.00435380351419     9.084497318564594
        
