###
# timestamp: 2456584.63158
# Gaussian 1 [amp, RV +/- err, wid]: [1.01, 103.88 +/- 0.06, 15.35]
# Gaussian 2 [amp, RV +/- err, wid]: [0.52, 58.67 +/- 0.11, 11.00]
# Uncorrected_RV, BF_amp, Gaussian_fit
###
400.0 0.0 1.6562096568e-144
398.0 0.0 7.8531670143e-143
396.0 0.0244081374711 3.64040653891e-141
394.0 0.0198087593742 1.64979684457e-139
392.0 0.0241903191706 7.30948168592e-138
390.0 0.0205531895909 3.16605333596e-136
388.0 0.0217168414517 1.34068083784e-134
386.0 0.019957088515 5.55019329268e-133
384.0 0.018898192081 2.24629269727e-131
382.0 0.0169406988203 8.88791951135e-130
380.0 0.0144739401562 3.43802801783e-128
378.0 0.0126591025563 1.30015233721e-126
376.0 0.0102535585656 4.80678393774e-125
374.0 0.00918235805817 1.73736269629e-123
372.0 0.00867155566686 6.13906051256e-122
370.0 0.00939414274118 2.12074702744e-120
368.0 0.00868931863024 7.16228091186e-119
366.0 0.00825777749307 2.36477249188e-117
364.0 0.00766658953771 7.63313441304e-116
362.0 0.00677262468081 2.40875143286e-114
360.0 0.00590807656765 7.43115966878e-113
358.0 0.00418545441095 2.24128317249e-111
356.0 0.00345948001001 6.60864462953e-110
354.0 0.00368939105324 1.90503780347e-108
352.0 0.00357077844936 5.36871473311e-107
350.0 0.00486846465305 1.47915126491e-105
348.0 0.00620420786533 3.98410137989e-104
346.0 0.00585401666338 1.04911646645e-102
344.0 0.00658320390155 2.70080082098e-101
342.0 0.00610457033643 6.79730787529e-100
340.0 0.0076570979396 1.67246430005e-98
338.0 0.00840257704784 4.0230210231e-97
336.0 0.00902624522874 9.46070016513e-96
334.0 0.00688463276478 2.17505271092e-94
332.0 0.00544126396008 4.88868241049e-93
330.0 0.00310099396829 1.07421050146e-91
328.0 0.00279756733011 2.30761043242e-90
326.0 0.000839894890629 4.84630925919e-89
324.0 0.000281368869999 9.95027963689e-88
322.0 -5.4943346672e-07 1.99726172099e-86
320.0 0.00211623438503 3.91931528985e-85
318.0 0.00340170848526 7.51901507996e-84
316.0 0.00297327245466 1.41022120505e-82
314.0 0.000525470666175 2.58576502241e-81
312.0 -0.000784604795384 4.63517785553e-80
310.0 -0.00270181238084 8.12305288011e-79
308.0 -0.0020934024627 1.39170660617e-77
306.0 -0.00253614733101 2.33105020925e-76
304.0 -0.00203433394655 3.8170785609e-75
302.0 -0.0013218387783 6.11063158188e-74
300.0 -0.000339683174105 9.56349498275e-73
298.0 -0.00149584330441 1.4632640472e-71
296.0 -0.00130219193739 2.1887910593e-70
294.0 -0.00169160844359 3.20082147525e-69
292.0 -0.00312655243372 4.57608572389e-68
290.0 -0.00416103192074 6.39591120199e-67
288.0 -0.00460515250427 8.73949454817e-66
286.0 -0.00326962992481 1.16747046066e-64
284.0 -0.00191182143733 1.52468921611e-63
282.0 -0.00233310247631 1.94667240977e-62
280.0 -0.00474707526207 2.42985881706e-61
278.0 -0.00583998085965 2.96515052258e-60
276.0 -0.00625084469306 3.53746076394e-59
274.0 -0.00366480851172 4.12589926797e-58
272.0 -0.000358016673798 4.70470976159e-57
270.0 0.00199254536574 5.24497194319e-56
268.0 0.00245587825064 5.71695618704e-55
266.0 0.000847100004499 6.09289583956e-54
264.0 -0.00298814606164 6.34984449823e-53
262.0 -0.00592640353904 6.47223659079e-52
260.0 -0.00759529997055 6.4537825667e-51
258.0 -0.00729266714071 6.29840607745e-50
256.0 -0.00651412362072 6.02005742157e-49
254.0 -0.00401496527742 5.6413928574e-48
252.0 -0.0020542326426 5.19146626771e-47
250.0 -0.00109607658577 4.70271316128e-46
248.0 -0.000116991566672 4.2075990356e-45
246.0 -0.00020186371118 3.73534542752e-44
