###
# timestamp: 2456761.87212
# Gaussian 1 [amp, RV +/- err, wid]: [1.01, 103.88 +/- 0.06, 15.35]
# Gaussian 2 [amp, RV +/- err, wid]: [0.52, 58.67 +/- 0.11, 11.00]
# Uncorrected_RV, BF_amp, Gaussian_fit
###
400.0 0.0 4.19734237124e-78
398.0 0.0 4.59014573519e-77
396.0 0.0155017492374 4.93919327182e-76
394.0 0.010584504302 5.22953451624e-75
392.0 0.017165481624 5.44813065588e-74
390.0 0.00833269014577 5.5848236192e-73
388.0 0.00722451718551 5.63311835845e-72
386.0 0.00271260449231 5.59069446149e-71
384.0 0.00363604227581 5.45959097392e-70
382.0 0.0043611929392 5.2460439317e-69
380.0 0.00517246148164 4.95999463076e-68
378.0 0.00466141082446 4.614322629e-67
376.0 0.00611521159938 4.22388586208e-66
374.0 0.00844892790325 3.80446732764e-65
372.0 0.0103805025808 3.37173171135e-64
370.0 0.00771742970761 2.94028636117e-63
368.0 0.00415579803292 2.52292137008e-62
366.0 0.00423254721548 2.13007683107e-61
364.0 0.00820004714351 1.7695559096e-60
362.0 0.00847648801352 1.44647448141e-59
360.0 0.0107957397029 1.16341519268e-58
358.0 0.0111720612514 9.20738180445e-58
356.0 0.010825946846 7.16993207453e-57
354.0 0.0133178205601 5.4937816863e-56
352.0 0.0129493002295 4.14195351379e-55
350.0 0.0108018708791 3.07267417721e-54
348.0 0.0125035453863 2.24287602174e-53
346.0 0.012571263872 1.61091079751e-52
344.0 0.0111797933294 1.13845320513e-51
342.0 0.0103256444754 7.91655699661e-51
340.0 0.00882854986549 5.41670231527e-50
338.0 0.00715712348507 3.6467925746e-49
336.0 0.00827759201229 2.4158202762e-48
334.0 0.0092460777051 1.57469210229e-47
332.0 0.0108326225077 1.00995993051e-46
330.0 0.00942026577914 6.37367779969e-46
328.0 0.00580068542329 3.95779717415e-45
326.0 0.0021413470272 2.41821232284e-44
324.0 -0.000476290719931 1.45382721008e-43
322.0 0.00233272820859 8.60020142686e-43
320.0 0.00154935951984 5.00589712535e-42
318.0 0.00366895193639 2.86703295335e-41
316.0 0.0032059003002 1.61570071154e-40
314.0 0.00328264727993 8.95914601871e-40
312.0 0.000922463115916 4.8882091621e-39
310.0 -0.000522851688864 2.62428146843e-38
308.0 0.0012248901075 1.38627219883e-37
306.0 0.00356264396192 7.20549930991e-37
304.0 0.00569911565637 3.685166506e-36
302.0 0.00902059860561 1.85450332677e-35
300.0 0.00978793110581 9.18280972214e-35
298.0 0.00916327668379 4.47405193502e-34
296.0 0.00712611335331 2.1448845651e-33
294.0 0.00422933389553 1.01177581494e-32
292.0 0.00137731170776 4.69615184769e-32
290.0 0.00227762780028 2.14475374805e-31
288.0 0.000274231248082 9.63807289998e-31
286.0 -0.00314402456362 4.26167616346e-30
284.0 -0.00374858251632 1.85416402759e-29
282.0 -0.00258023156878 7.93767519681e-29
280.0 -0.00201341207119 3.34361268297e-28
278.0 0.000499421341084 1.38584950495e-27
276.0 0.00503037773452 5.6518892773e-27
274.0 0.00211677347136 2.26802943503e-26
272.0 0.00267694286801 8.95532177452e-26
270.0 -0.00298604247443 3.47929434164e-25
268.0 -0.00982086787465 1.33008260447e-24
266.0 -0.0122812854808 5.00314999729e-24
264.0 -0.0137493008027 1.85176512465e-23
262.0 -0.0147170453304 6.74381650203e-23
260.0 -0.0140293192427 2.41659045634e-22
258.0 -0.0139184712863 8.52075022067e-22
