#NUMBER OF AGES=16 MAGS=10
#----------------------------------------------------       
#MIX-LEN  Y      Z          Zeff        [Fe/H] [a/Fe]
# 1.9380  0.2451 4.0890E-05 5.3482E-05  -2.51  -0.20
#----------------------------------------------------       
#**PHOTOMETRIC SYSTEM**: Bessell UBV(RI)c + 2MASS JHKs + Kepler (Vega)
#----------------------------------------------------       
#AGE= 1.000 EEPS=277
#EEP   M/Mo    LogTeff  LogG   LogL/Lo U       B       V       R       I       J       H       Ks      Kp      D51     
  41  0.997517  3.8699  4.5674  0.3025  4.0770  4.3691  4.1200  3.9451  3.7496  3.5221  3.3596  3.3613  3.9971  4.1610
  42  1.022263  3.8790  4.5622  0.3546  3.9447  4.2095  3.9855  3.8270  3.6484  3.4405  3.2950  3.2999  3.8720  4.0203
  43  1.045127  3.8878  4.5599  0.4017  3.8217  4.0706  3.8645  3.7188  3.5546  3.3675  3.2387  3.2446  3.7586  3.8948
  44  1.064699  3.8958  4.5603  0.4413  3.7167  3.9523  3.7621  3.6279  3.4770  3.3089  3.1951  3.2016  3.6629  3.7884
  45  1.082403  3.9033  4.5623  0.4766  3.6237  3.8433  3.6706  3.5488  3.4116  3.2605  3.1605  3.1684  3.5784  3.6924
  46  1.099535  3.9105  4.5643  0.5102  3.5373  3.7432  3.5861  3.4758  3.3513  3.2158  3.1282  3.1372  3.5003  3.6038
  47  1.116183  3.9171  4.5655  0.5420  3.4537  3.6498  3.5071  3.4070  3.2941  3.1728  3.0962  3.1064  3.4269  3.5213
  48  1.131679  3.9231  4.5663  0.5710  3.3769  3.5658  3.4368  3.3456  3.2428  3.1340  3.0665  3.0780  3.3613  3.4479
  49  1.146186  3.9288  4.5675  0.5981  3.3090  3.4897  3.3735  3.2913  3.1980  3.1002  3.0407  3.0528  3.3025  3.3814
  50  1.160336  3.9343  4.5685  0.6247  3.2477  3.4186  3.3152  3.2418  3.1573  3.0691  3.0166  3.0285  3.2483  3.3194
  51  1.174458  3.9401  4.5701  0.6516  3.1866  3.3493  3.2593  3.1948  3.1186  3.0398  2.9939  3.0057  3.1963  3.2599
