#NUMBER OF AGES= 1
#----------------------------------------------------       
#MIX-LEN  Y      Z          Zeff        [Fe/H] [a/Fe]
# 1.9380  0.2741 1.8850E-02 1.8850E-02   0.07   0.00 
#----------------------------------------------------       
#**PHOTOMETRIC SYSTEM**: Bessell UBV(RI)c + 2MASS JHKs + Kep
#----------------------------------------------------       
#AGE= 1.000 EEPS=278
#EEP   M/Mo    LogTeff  LogG   LogL/Lo U       B       V       R       I       J       H       Ks      Kp      D51
  42  1.107009  3.7819  4.4558  0.1074  5.2193  5.1002  4.4985  4.1671  3.8664  3.4709  3.1953  3.1658  4.2872  4.6467
  43  1.120421  3.7848  4.4452  0.1348  5.1155  5.0145  4.4273  4.1012  3.8046  3.4165  3.1468  3.1180  4.2192  4.5714
  44  1.136715  3.7883  4.4326  0.1674  5.0018  4.9227  4.3447  4.0217  3.7270  3.3469  3.0846  3.0544  4.1385  4.4856
  45  1.237875  3.8082  4.3581  0.3585  4.3504  4.3580  3.8505  3.5599  3.2921  2.9591  2.7361  2.7075  3.6653  3.9708
  46  1.395878  3.8352  4.2596  0.6173  3.5370  3.5790  3.1815  2.9483  2.7330  2.4633  2.2942  2.2732  3.0323  3.2726
  47  1.442163  3.8427  4.2342  0.6870  3.3344  3.3785  3.0039  2.7838  2.5813  2.3278  2.1733  2.1525  2.8628  3.0885
  48  1.498752  3.8522  4.2098  0.7663  3.1063  3.1488  2.8016  2.5985  2.4132  2.1797  2.0435  2.0230  2.6710  2.8781
  49  1.534784  3.8579  4.1920  0.8172  2.9640  3.0035  2.6721  2.4793  2.3045  2.0827  1.9574  1.9370  2.5478  2.7437
  50  1.587493  3.8660  4.1676  0.8885  2.7676  2.8011  2.4911  2.3130  2.1533  1.9478  1.8376  1.8174  2.3757  2.5558
  51  1.646149  3.8738  4.1378  0.9652  2.5614  2.5868  2.2969  2.1331  1.9886  1.7981  1.7023  1.6822  2.1902  2.3552
  52  1.655891  3.8749  4.1324  0.9778  2.5280  2.5521  2.2651  2.1034  1.9611  1.7728  1.6790  1.6590  2.1596  2.3224
  53  1.665596  3.8760  4.1268  0.9902  2.4952  2.5180  2.2337  2.0740  1.9339  1.7476  1.6557  1.6357  2.1294  2.2901
  54  1.674949  3.8770  4.1212  1.0023  2.4633  2.4847  2.2031  2.0453  1.9072  1.7228  1.6328  1.6128  2.1000  2.2586
  55  1.684827  3.8780  4.1152  1.0148  2.4307  2.4508  2.1717  2.0157  1.8796  1.6970  1.6087  1.5887  2.0696  2.2264
  56  1.694772  3.8790  4.1090  1.0273  2.3980  2.4168  2.1402  1.9859  1.8517  1.6709  1.5843  1.5643  2.0391  2.1940
  57  1.704825  3.8799  4.1026  1.0399  2.3652  2.3827  2.1084  1.9558  1.8235  1.6443  1.5594  1.5394  2.0083  2.1614
  58  1.714863  3.8807  4.0960  1.0525  2.3326  2.3487  2.0767  1.9257  1.7952  1.6176  1.5342  1.5143  1.9776  2.1290
  59  1.725129  3.8816  4.0893  1.0651  2.2998  2.3146  2.0448  1.8955  1.7666  1.5906  1.5087  1.4888  1.9467  2.0963
  60  1.735092  3.8823  4.0824  1.0775  2.2679  2.2814  2.0136  1.8658  1.7385  1.5638  1.4833  1.4634  1.9164  2.0645
  61  1.745205  3.8830  4.0755  1.0898  2.2362  2.2484  1.9825  1.8361  1.7103  1.5369  1.4578  1.4378  1.8861  2.0327
  62  1.754969  3.8837  4.0684  1.1019  2.2054  2.2163  1.9522  1.8070  1.6826  1.5104  1.4323  1.4124  1.8565  2.0018
  63  1.764712  3.8842  4.0610  1.1137  2.1754  2.1851  1.9224  1.7782  1.6550  1.4836  1.4065  1.3866  1.8273  1.9715
  64  1.774206  3.8846  4.0534  1.1253  2.1460  2.1546  1.8931  1.7499  1.6276  1.4570  1.3807  1.3608  1.7986  1.9419
  65  1.783892  3.8849  4.0453  1.1370  2.1164  2.1238  1.8634  1.7209  1.5995  1.4295  1.3539  1.3340  1.7693  1.9118
  66  1.793789  3.8852  4.0369  1.1491  2.0862  2.0924  1.8330  1.6912  1.5706  1.4010  1.3260  1.3061  1.7393  1.8811
  67  1.804111  3.8855  4.0280  1.1616  2.0547  2.0597  1.8013  1.6602  1.5403  1.3713  1.2969  1.2769  1.7080  1.8490
  68  1.815048  3.8858  4.0185  1.1749  2.0215  2.0253  1.7679  1.6275  1.5084  1.3398  1.2660  1.2461  1.6749  1.8153
  69  1.825662  3.8860  4.0086  1.1881  1.9886  1.9910  1.7344  1.5946  1.4761  1.3079  1.2345  1.2146  1.6418  1.7816
  70  1.836678  3.8861  3.9981  1.2016  1.9549  1.9561  1.7001  1.5607  1.4427  1.2746  1.2016  1.1816  1.6078  1.7471
  71  1.847639  3.8861  3.9873  1.2152  1.9215  1.9213  1.6658  1.5267  1.4090  1.2410  1.1681  1.1482  1.5736  1.7127
  72  1.858584  3.8861  3.9761  1.2287  1.8885  1.8870  1.6317  1.4927  1.3752  1.2069  1.1342  1.1141  1.5396  1.6785
  73  1.869328  3.8859  3.9646  1.2419  1.8562  1.8535  1.5982  1.4591  1.3415  1.1729  1.1000  1.0800  1.5060  1.6451
  74  1.879869  3.8856  3.9530  1.2548  1.8251  1.8212  1.5655  1.4261  1.3082  1.1390  1.0658  1.0457  1.4731  1.6126
  75  1.890123  3.8851  3.9411  1.2672  1.7952  1.7903  1.5339  1.3939  1.2754  1.1053  1.0315  1.0114  1.4412  1.5813
  76  1.900133  3.8845  3.9290  1.2792  1.7668  1.7608  1.5033  1.3625  1.2431  1.0719  0.9972  0.9770  1.4101  1.5512
  77  1.909921  3.8838  3.9166  1.2909  1.7394  1.7326  1.4737  1.3317  1.2112  1.0385  0.9628  0.9425  1.3798  1.5221
  78  1.919561  3.8829  3.9040  1.3023  1.7130  1.7054  1.4447  1.3014  1.1794  1.0051  0.9282  0.9078  1.3500  1.4938
  79  1.929010  3.8819  3.8910  1.3135  1.6875  1.6793  1.4164  1.2715  1.1478  0.9716  0.8932  0.8727  1.3208  1.4663
  80  1.938389  3.8808  3.8777  1.3244  1.6630  1.6541  1.3887  1.2419  1.1163  0.9379  0.8578  0.8371  1.2921  1.4395
  81  1.947575  3.8796  3.8641  1.3350  1.6394  1.6298  1.3617  1.2129  1.0852  0.9044  0.8224  0.8016  1.2639  1.4135
  82  1.953461  3.8787  3.8552  1.3418  1.6246  1.6145  1.3446  1.1943  1.0652  0.8827  0.7994  0.7785  1.2459  1.3970
  83  1.959310  3.8778  3.8460  1.3485  1.6101  1.5995  1.3276  1.1758  1.0450  0.8608  0.7760  0.7551  1.2280  1.3808
  84  1.965173  3.8768  3.8367  1.3551  1.5960  1.5849  1.3108  1.1574  1.0250  0.8389  0.7525  0.7315  1.2103  1.3648
  85  1.970993  3.8757  3.8272  1.3616  1.5823  1.5707  1.2942  1.1391  1.0049  0.8167  0.7287  0.7076  1.1927  1.3490
  86  1.976742  3.8746  3.8174  1.3681  1.5689  1.5568  1.2778  1.1209  0.9847  0.7944  0.7046  0.6833  1.1752  1.3335
  87  1.982478  3.8734  3.8075  1.3745  1.5558  1.5433  1.2616  1.1028  0.9646  0.7719  0.6802  0.6589  1.1579  1.3182
  88  1.988178  3.8721  3.7973  1.3808  1.5433  1.5302  1.2457  1.0848  0.9444  0.7493  0.6556  0.6341  1.1407  1.3033
  89  1.993879  3.8707  3.7870  1.3870  1.5313  1.5177  1.2301  1.0671  0.9244  0.7267  0.6309  0.6093  1.1239  1.2888
  90  1.999496  3.8693  3.7764  1.3931  1.5197  1.5056  1.2148  1.0494  0.9043  0.7038  0.6057  0.5839  1.1072  1.2745
  91  2.005056  3.8678  3.7656  1.3992  1.5085  1.4940  1.1996  1.0317  0.8840  0.6805  0.5799  0.5580  1.0905  1.2606
  92  2.010599  3.8663  3.7547  1.4052  1.4977  1.4828  1.1847  1.0141  0.8636  0.6571  0.5538  0.5318  1.0740  1.2469
  93  2.016088  3.8647  3.7434  1.4111  1.4876  1.4724  1.1701  0.9967  0.8433  0.6334  0.5273  0.5051  1.0578  1.2337
  94  2.021565  3.8630  3.7321  1.4168  1.4780  1.4625  1.1560  0.9796  0.8231  0.6097  0.5007  0.4783  1.0419  1.2210
  95  2.026984  3.8612  3.7205  1.4225  1.4689  1.4531  1.1420  0.9626  0.8028  0.5859  0.4738  0.4512  1.0261  1.2085
  96  2.032332  3.8594  3.7087  1.4281  1.4602  1.4440  1.1283  0.9457  0.7826  0.5619  0.4466  0.4239  1.0104  1.1963
  97  2.037607  3.8575  3.6968  1.4337  1.4521  1.4356  1.1149  0.9289  0.7624  0.5378  0.4192  0.3962  0.9950  1.1845
  98  2.042853  3.8556  3.6847  1.4391  1.4444  1.4274  1.1017  0.9125  0.7425  0.5140  0.3920  0.3688  0.9799  1.1729
  99  2.048036  3.8536  3.6726  1.4445  1.4371  1.4195  1.0888  0.8962  0.7227  0.4901  0.3647  0.3413  0.9649  1.1616
 100  2.053164  3.8516  3.6602  1.4499  1.4302  1.4120  1.0760  0.8800  0.7030  0.4662  0.3373  0.3137  0.9500  1.1505
 101  2.058254  3.8496  3.6479  1.4553  1.4235  1.4046  1.0633  0.8637  0.6832  0.4423  0.3097  0.2859  0.9352  1.1394
 102  2.063333  3.8476  3.6355  1.4607  1.4169  1.3971  1.0504  0.8475  0.6634  0.4183  0.2821  0.2581  0.9202  1.1282
 103  2.068394  3.8456  3.6232  1.4663  1.4099  1.3893  1.0372  0.8309  0.6434  0.3942  0.2546  0.2303  0.9050  1.1166
 104  2.073428  3.8438  3.6111  1.4721  1.4024  1.3808  1.0236  0.8140  0.6232  0.3700  0.2270  0.2025  0.8893  1.1045
 105  2.078407  3.8422  3.5994  1.4783  1.3933  1.3707  1.0088  0.7964  0.6027  0.3460  0.2001  0.1754  0.8728  1.0911
