#AGE= 2.500 EEPS=275
#EEP   M/Mo    LogTeff  LogG   LogL/Lo U       B       V       R       I       J       H       Ks      Kp      D51     
  47  1.030876  3.7645  4.4634 -0.0010  5.4972  5.4261  4.8284  4.4704  4.1331  3.6861  3.3716  3.3424  4.5923  4.9862
  48  1.061054  3.7721  4.4337  0.0716  5.2373  5.2053  4.6352  4.2918  3.9665  3.5401  3.2412  3.2148  4.4091  4.7818
  49  1.079052  3.7763  4.4144  0.1150  5.0883  5.0759  4.5208  4.1854  3.8666  3.4514  3.1610  3.1362  4.3002  4.6617
  50  1.113667  3.7839  4.3783  0.1956  4.8179  4.8379  4.3100  3.9889  3.6822  3.2871  3.0118  2.9897  4.0990  4.4409
  51  1.172432  3.7965  4.3182  0.3280  4.3882  4.4508  3.9660  3.6678  3.3806  3.0176  2.7660  2.7483  3.7701  4.0821
  52  1.187906  3.7996  4.3025  0.3619  4.2821  4.3531  3.8787  3.5860  3.3037  2.9485  2.7027  2.6859  3.6864  3.9914
  53  1.198898  3.8016  4.2912  0.3852  4.2102  4.2862  3.8186  3.5295  3.2504  2.9001  2.6581  2.6420  3.6286  3.9291
  54  1.207238  3.8030  4.2824  0.4026  4.1577  4.2370  3.7740  3.4874  3.2105  2.8637  2.6243  2.6086  3.5856  3.8830
  55  1.213944  3.8040  4.2750  0.4165  4.1165  4.1979  3.7384  3.4536  3.1783  2.8341  2.5966  2.5812  3.5512  3.8463
  56  1.219206  3.8048  4.2687  0.4278  4.0835  4.1665  3.7095  3.4261  3.1520  2.8097  2.5737  2.5584  3.5232  3.8166
  57  1.224826  3.8055  4.2621  0.4392  4.0506  4.1350  3.6804  3.3983  3.1253  2.7848  2.5501  2.5351  3.4949  3.7867
  58  1.229660  3.8061  4.2560  0.4494  4.0217  4.1071  3.6545  3.3734  3.1013  2.7623  2.5288  2.5139  3.4696  3.7602
  59  1.234771  3.8066  4.2496  0.4597  3.9925  4.0789  3.6280  3.3480  3.0768  2.7391  2.5067  2.4919  3.4439  3.7332
  60  1.240012  3.8071  4.2431  0.4702  3.9632  4.0505  3.6014  3.3223  3.0520  2.7156  2.4842  2.4696  3.4178  3.7059
  61  1.245506  3.8077  4.2363  0.4810  3.9334  4.0214  3.5740  3.2959  3.0263  2.6912  2.4608  2.4463  3.3911  3.6780
  62  1.251354  3.8082  4.2292  0.4923  3.9024  3.9912  3.5455  3.2683  2.9995  2.6657  2.4363  2.4219  3.3631  3.6489
  63  1.257335  3.8086  4.2217  0.5036  3.8717  3.9610  3.5168  3.2404  2.9724  2.6397  2.4111  2.3968  3.3349  3.6197
  64  1.263299  3.8090  4.2141  0.5147  3.8419  3.9316  3.4887  3.2130  2.9455  2.6138  2.3860  2.3718  3.3073  3.5911
  65  1.269279  3.8093  4.2064  0.5257  3.8130  3.9028  3.4610  3.1859  2.9190  2.5880  2.3608  2.3467  3.2800  3.5631
  66  1.275280  3.8095  4.1987  0.5365  3.7850  3.8747  3.4338  3.1591  2.8926  2.5623  2.3356  2.3215  3.2530  3.5356
  67  1.281272  3.8097  4.1909  0.5471  3.7577  3.8473  3.4070  3.1328  2.8667  2.5368  2.3105  2.2964  3.2266  3.5086
  68  1.287289  3.8099  4.1831  0.5575  3.7310  3.8204  3.3807  3.1068  2.8409  2.5114  2.2855  2.2715  3.2005  3.4821
  69  1.293407  3.8100  4.1753  0.5680  3.7045  3.7936  3.3545  3.0809  2.8152  2.4861  2.2605  2.2465  3.1744  3.4556
  70  1.299639  3.8102  4.1674  0.5784  3.6780  3.7668  3.3282  3.0549  2.7895  2.4607  2.2354  2.2214  3.1483  3.4292
  71  1.306010  3.8103  4.1597  0.5889  3.6514  3.7399  3.3018  3.0289  2.7638  2.4353  2.2103  2.1963  3.1222  3.4026
  72  1.312554  3.8105  4.1520  0.5994  3.6244  3.7127  3.2753  3.0027  2.7379  2.4098  2.1852  2.1713  3.0959  3.3758
  73  1.319220  3.8106  4.1443  0.6099  3.5974  3.6855  3.2487  2.9765  2.7119  2.3843  2.1600  2.1462  3.0695  3.3490
  74  1.325983  3.8108  4.1364  0.6205  3.5707  3.6584  3.2221  2.9502  2.6859  2.3585  2.1346  2.1207  3.0431  3.3223
  75  1.332723  3.8108  4.1284  0.6310  3.5446  3.6318  3.1958  2.9241  2.6599  2.3328  2.1090  2.0951  3.0169  3.2958
  76  1.339547  3.8108  4.1201  0.6414  3.5191  3.6056  3.1697  2.8979  2.6338  2.3066  2.0828  2.0689  2.9908  3.2696
  77  1.346220  3.8107  4.1115  0.6516  3.4948  3.5804  3.1442  2.8723  2.6080  2.2805  2.0565  2.0426  2.9652  3.2442
