2M19370697+4126128,7441,56817,74,294.27908,41.43691,r5,93.9054,0.138903 
2M19370697+4126128,7440,56788,70,294.27908,41.43691,r5,47.1526,-10.8414 
2M19370697+4126128,7441,56818,74,294.27908,41.43691,r5,100.869,-2.3222 
2M19370697+4126128,7439,56758,70,294.27908,41.43691,r5,28.102,0.587012 
2M19370697+4126128,7440,56787,63,294.27908,41.43691,r5,104.609,-17.3393 
2M19370697+4126128,7439,56757,70,294.27908,41.43691,r5,114.014,-0.268128 
2M19370697+4126128,7441,56820,74,294.27908,41.43691,r5,107.158,-9.75705 
2M19370697+4126128,7125,56560,123,294.27908,41.43691,r5,119.18,11.6779 
2M19370697+4126128,7125,56584,129,294.27908,41.43691,r5,125.049,35.194 
2M19370697+4126128,7440,56785,63,294.27908,41.43691,r5,104.746,-13.1282 
2M19370697+4126128,7125,56557,123,294.27908,41.43691,r5,122.405,12.4528 
2M19370697+4126128,7125,56559,123,294.27908,41.43691,r5,117.091,9.58473 
2M19370697+4126128,7439,56760,70,294.27908,41.43691,r5,95.3955,9.64837 
2M19370697+4126128,7441,56815,74,294.27908,41.43691,r5,110.448,5.16549 
2M19370697+4126128,6093,56411,77,294.27908,41.43691,r5,117.277,4.95997 
2M19370697+4126128,7440,56783,63,294.27908,41.43691,r5,64.8233,-7.57945 
2M19370697+4126128,7441,56812,74,294.27908,41.43691,r5,84.2746,8.5146 
2M19370697+4126128,7441,56816,74,294.27908,41.43691,r5,51.7892,1.10523 
2M19370697+4126128,7441,56819,74,294.27908,41.43691,r5,93.148,-5.49755 
2M19370697+4126128,7125,56585,129,294.27908,41.43691,r5,123.788,37.0497 
2M19370697+4126128,7439,56761,70,294.27908,41.43691,r5,34.1161,0.219165 
2M19370697+4126128,7440,56786,63,294.27908,41.43691,r5,90.2292,-17.3593 
2M19370697+4126128,7439,56763,70,294.27908,41.43691,r5,97.552,0.311043 
2M19370697+4126128,7441,56814,74,294.27908,41.43691,r5,76.8234,9.8983 
2M19370697+4126128,7439,56762,70,294.27908,41.43691,r5,110.109,3.46359 
2M19370697+4126128,7440,56784,63,294.27908,41.43691,r5,72.6596,-11.1508 
2M19370697+4126128,6093,56368,71,294.27908,41.43691,r5,91.993,-7.65851
