###
# timestamp: 2455813.6996682
# Gaussian 1 [amp, RV +/- err, wid]: [1.04, 128.14 +/- 0.06, 15.00]
# Gaussian 2 [amp, RV +/- err, wid]: [0.60, 16.92 +/- 0.10, 15.00]
# Uncorrected_RV, BF_amp, Gaussian_fit
###
400.0 0.0 4.37688753537e-90
398.0 0.0 6.46549930657e-89
396.0 0.000900165814077 9.38248676859e-88
394.0 -0.000139080824906 1.33755934826e-86
392.0 -0.000204036335429 1.87321389499e-85
390.0 -0.000269116305217 2.57715707649e-84
388.0 -9.00606226847e-05 3.48316154826e-83
386.0 -0.000639596665243 4.62472117958e-82
384.0 -0.00149855210458 6.03221345563e-81
382.0 -0.0013815369894 7.72942267206e-80
380.0 -0.000569802607848 9.72963664017e-79
378.0 3.24948146938e-05 1.2031655701e-77
376.0 0.000619409248208 1.4616163042e-76
374.0 2.55717616968e-05 1.74429755233e-75
372.0 -0.0011190000753 2.04497014991e-74
370.0 -0.00184553568373 2.35522598366e-73
368.0 -0.00190029656053 2.66475572598e-72
366.0 -0.000328886010016 2.96183890464e-71
364.0 0.00100239331255 3.23403467419e-70
362.0 0.00154648411136 3.46902252413e-69
360.0 0.00162585940278 3.65551673672e-68
358.0 0.00136088296815 3.78416132511e-67
356.0 0.000559093928816 3.84830706614e-66
354.0 0.000523483790448 3.8445808891e-65
352.0 3.85612322291e-06 3.77317976392e-64
350.0 6.29522261527e-05 3.63785344972e-63
348.0 0.00158346248149 3.44557820652e-62
346.0 0.00291960600332 3.20596098767e-61
344.0 0.00348729886438 2.93044492681e-60
342.0 0.00293818007428 2.63140747321e-59
340.0 0.00231353969998 2.3212496583e-58
338.0 0.0010821913229 2.01156843002e-57
336.0 0.000766837179151 1.71248579837e-56
334.0 9.77652160424e-05 1.43218247541e-55
332.0 -0.000693297461576 1.17665444884e-54
330.0 -0.000850854356516 9.49683158327e-54
328.0 -0.000155347973852 7.52987454727e-53
326.0 -0.00089687533141 5.86510719709e-52
324.0 -0.00120073535022 4.48790212427e-51
322.0 -0.000802657908642 3.37357219739e-50
320.0 -0.000608109668355 2.49124161544e-49
318.0 0.000125273640757 1.80726109836e-48
316.0 0.00146877231099 1.28796825816e-47
314.0 0.000660432171067 9.01713618461e-47
312.0 -0.000511956436346 6.20170789551e-46
310.0 -0.000173730386445 4.19018496349e-45
308.0 -0.000560370887053 2.78121325475e-44
306.0 -5.94099458625e-05 1.81348762405e-43
304.0 0.00105437746453 1.1616468283e-42
302.0 0.000196462592187 7.3099235515e-42
300.0 -9.32043950387e-05 4.51887958008e-41
298.0 0.000353749205427 2.7442767791e-40
296.0 0.000723516021415 1.63720952455e-39
294.0 0.000615433533443 9.59532796631e-39
292.0 0.000168342312754 5.52452055185e-38
290.0 -0.00142906203735 3.12470176606e-37
288.0 -0.00165859079679 1.73620803359e-36
286.0 -0.00168044456509 9.47707154312e-36
284.0 -0.00119171149293 5.08189591886e-35
282.0 -8.50367754359e-05 2.67705061389e-34
280.0 0.000439397506601 1.38537264401e-33
278.0 0.00109601736574 7.04297006125e-33
276.0 0.000139576540623 3.51742046506e-32
274.0 -0.00060906281664 1.72572638464e-31
272.0 -0.00138281029261 8.31761475366e-31
270.0 -0.00117065831644 3.93826442806e-30
268.0 -0.000389852440212 1.83185103156e-29
266.0 -0.000241834352641 8.37056249572e-29
264.0 -0.000732153452787 3.75749440267e-28
262.0 -0.00145387098338 1.65699520092e-27
260.0 -0.00115490211713 7.17832914665e-27
258.0 -0.000263997451133 3.05495413749e-26
256.0 0.00142095875727 1.2772185888e-25
254.0 0.00224175334068 5.24571843228e-25
252.0 0.00218231412046 2.11652757074e-24
250.0 0.00155802358713 8.38922985436e-24
248.0 0.00015166588948 3.26662639127e-23
246.0 -0.000149773109495 1.24955693277e-22
244.0 -0.000481321500005 4.69560806169e-22
242.0 -0.00010594384356 1.7334321212e-21
240.0 -0.000376634648653 6.28638607627e-21
238.0 0.000997567352083 2.23962067673e-20
236.0 0.00171127317464 7.83839412082e-20
234.0 0.00247273431018 2.69500101815e-19
232.0 0.00301083337646 9.10269476468e-19
230.0 0.00208674016252 3.02037061005e-18
228.0 0.00178285831196 9.8453169185e-18
226.0 0.00169712020037 3.15266898709e-17
224.0 0.00261993305669 9.91759245704e-17
222.0 0.00174508953461 3.06487911947e-16
220.0 0.00328878472276 9.30464165618e-16
218.0 0.00248649432697 2.77501390097e-15
216.0 0.00281555036505 8.13036200671e-15
214.0 0.00146172156297 2.3400967446e-14
212.0 0.00120225957845 6.6166315431e-14
210.0 -2.93489203695e-05 1.83788908582e-13
208.0 0.000381693964073 5.01511453309e-13
206.0 8.05570792546e-05 1.34437869654e-12
204.0 0.00016739300448 3.54031249015e-12
202.0 -4.3791971469e-05 9.15884653066e-12
200.0 -0.000178980427468 2.32765802881e-11
198.0 0.000846437376489 5.81134660423e-11
196.0 0.00175631403642 1.42532397688e-10
194.0 0.00177067243098 3.43423185555e-10
192.0 0.00177972220799 8.12877013991e-10
190.0 0.0020093523305 1.89016311019e-09
188.0 0.00131086165167 4.31770465629e-09
186.0 0.000828907925735 9.68915247492e-09
184.0 0.000369926784643 2.13598332443e-08
182.0 0.000307542229172 4.62582431515e-08
180.0 0.00132464557021 9.84146201631e-08
178.0 0.00165532438908 2.05688170766e-07
176.0 0.00166293695441 4.2231666603e-07
174.0 0.000823154624264 8.51817061168e-07
172.0 0.00135133996359 1.68784926001e-06'
170.0 0.00282976185394 3.28549030811e-06'
168.0 0.0031683913449 6.28269436062e-06'
166.0 0.00236034483082 1.1802415096e-05'
164.0 0.00266734770065 2.17808611833e-05'
162.0 0.00171923554023 3.94873891614e-05'
160.0 0.00142974210943 7.03268238278e-05'
158.0 0.00181382585364 0.000123044668308'
156.0 0.00179540855386 0.000211487064719'
154.0 0.00112863953548 0.000357095218525'
152.0 0.00166331994465 0.000592329659772'
150.0 0.000904626707276 0.000965210745633'
148.0 0.000517574339035 0.00154511229437'
146.0 -2.06795642689e-05 0.00242983727762'
144.0 -0.000176133638632 0.00375382127893'
142.0 -6.65058870011e-05 0.00569704010534'
140.0 0.000852624340189 0.00849384403992'
138.0 0.000954171213119 0.0124405237386'
136.0 0.000349876648459 0.0178999783414'
134.0 -0.000137304236181 0.0253014802768'
132.0 -0.000335284186465 0.035133314709'
130.0 0.00161321427859 0.0479261310462'
128.0 0.00204148217391 0.0642252914611'
126.0 0.00189997652327 0.0845514171435'
124.0 0.0011485309258 0.10934973402'
122.0 0.00209391312651 0.138930631177'
120.0 0.00289803675097 0.173405883573'
118.0 0.00577317636426 0.212626966115'
116.0 0.00724807457768 0.256133432'
114.0 0.00876956019239 0.303120056402'
112.0 0.0091081416606 0.352431024346'
110.0 0.0112268478985 0.402587675197'
108.0 0.0127292440625 0.451853222012'
106.0 0.0150697725121 0.498333707429'
104.0 0.016548047541 0.540109743392'
102.0 0.0176903014994 0.575388988023'
100.0 0.0177793439117 0.602665578412'
98.0 0.0196069754666 0.620870521873'
96.0 0.0199944039022 0.629496792548'
94.0 0.0206872410213 0.628684710564'
92.0 0.020597833008 0.619256870539'
90.0 0.0205067056132 0.602696897494'
88.0 0.0202919484824 0.581071903029'
86.0 0.0202455167235 0.55690390946'
84.0 0.0185847381859 0.533000034587'
82.0 0.0170932753633 0.51225445254'
80.0 0.0145377597176 0.49743692761'
78.0 0.0142214100776 0.490983187616'
76.0 0.0144359550532 0.494801864379'
74.0 0.0152423556432 0.510111523676'
72.0 0.0158249696378 0.53731968685'
70.0 0.018155562246 0.575953786394'
68.0 0.020131122711 0.624651587737'
66.0 0.0233099312609 0.681215523156'
64.0 0.0259714023951 0.742731410378'
62.0 0.0281831834352 0.80574712244'
60.0 0.030738831474 0.866501175635'
58.0 0.0328021047592 0.921185476195'
56.0 0.03403785756 0.96622145303'
54.0 0.0336636723058 0.998525461456'
52.0 0.0347945869614 1.01573853149'
50.0 0.0347531272171 1.01639778967'
48.0 0.0342283696263 1.00003224241'
46.0 0.0326006039785 0.967173539091'
44.0 0.0314767528609 0.919281788322'
42.0 0.0290269070945 0.858596102643'
40.0 0.0271066172104 0.787927843524'
38.0 0.0244218729062 0.710420288187'
36.0 0.0214154245478 0.629300849687'
34.0 0.018784010922 0.547650846171'
32.0 0.0151931106451 0.468213529928'
30.0 0.0114042792231 0.393254538422'
28.0 0.00740267611279 0.324481295144'
26.0 0.00533985480618 0.263020395652'
24.0 0.00259419955185 0.209445717837'
22.0 0.00171420416352 0.163845612604'
20.0 0.000495526195066 0.12591536654'
18.0 0.00155162362042 0.0950610879666'
16.0 0.0020589083244 0.0705028462446'
14.0 0.00268477714466 0.051367702173'
12.0 0.000604664673899 0.0367665695573'
10.0 -0.00086696981736 0.025852078998'
8.0 -0.00139105273951 0.017857356518'
6.0 -0.001468260276 0.012117643039'
4.0 -0.000772722483029 0.00807789872793'
2.0 -0.000950250404466 0.00529002712481'
0.0 -0.00116076005185 0.00340327173731'
-2.0 -0.000313377037732 0.00215087207311'
-4.0 0.000881872808911 0.00133540117603'
-6.0 0.0013618023231 0.000814494478265'
-8.0 0.00202752728179 0.000488026886042'
-10.0 0.0021374613667 0.00028726225479'
-12.0 0.00106837749483 0.000166108781675'
-14.0 0.000961399788664 9.43595435602e-05'
-16.0 -6.84583942825e-05 5.26572628018e-05'
