#Primary Amplitude    Error                 Width     Secondary Amp         Error             SWidth
1.157587747283866    0.003066457626282606    12.0   0.939327314622012   0.003755628908514917    8.0
1.070280925798309    0.003066457197240572    12.0   0.782309903929278   0.003755627729862728    8.0
1.127446849750645    0.003066457203443728    12.0   0.806372615093487   0.003755627719747626    8.0
1.063358869048772    0.003268797514875648    12.0   0.837379333468635   0.004205176455551083    8.0
1.141833039444498    0.003078091650599864    12.0   0.819012924903392   0.003784059449520824    8.0
1.075981964100565    0.003066457209882647    12.0   0.808291811917204   0.003755627700787912    8.0
#1.121909413827327    0.003126849302482154    12.0   0.80703235718826   0.00389718387414161     0 
1.052459261718488    0.003066457210403279    12.0   0.181249885360064   0.003755627716083197    8.0
0.993630594942085    0.003066457191966803    12.0   0.127904033006552   0.003755627726687508    8.0
1.071384829042202    0.003066457184925912    12.0   0.768969309462799   0.003755627700498504    8.0
1.136291776056244    0.003066457203896850    12.0   0.778562091703982   0.003755627720749719    8.0
1.171698563600161    0.003066457175056611    12.0   0.838406741065252   0.003755627717713438    8.0
1.146727759896895    0.003066457203890606    12.0   0.876286679771426   0.003755627731852108    8.0
1.112034763688148    0.003066457185250149    12.0   0.844814941060850   0.003755627718613896    8.0
1.129466302991217    0.003066457447939963    12.0   0.968641517446841   0.003755628334367979    8.0
1.077411966927788    0.003066457202672013    12.0   0.795543633758385   0.003755627724475535    8.0
1.114558535375037    0.003066457199963157    12.0   0.812509404394318   0.003755627727958062    8.0
1.040202110226266    0.003066457190763139    12.0   0.820126390348633   0.003755627711248795    8.0
1.082166606486745    0.003066457338180753    12.0   0.794511151355535   0.003755628148776289    8.0
1.132027991162330    0.003066512152730405    12.0   0.851088009172533   0.003755769388650395    8.0
1.109082245595089    0.003078864083939785    12.0   0.803767328833750   0.003785910496275985    8.0
