#AGE=10.000 EEPS=267
#EEP   M/Mo    LogTeff  LogG   LogL/Lo U       B       V       R       I       J       H       Ks      Kp      D51     
  13  0.105001  3.5108  5.2304 -2.7745 16.8032 15.2863 13.6925 12.6040 11.1844  9.7945  9.2512  9.0123 12.5705 14.3553
  14  0.122602  3.5122  5.1751 -2.6463 16.4090 14.9280 13.3502 12.2691 10.8613  9.4774  8.9345  8.6953 12.2400 14.0030
  15  0.138062  3.5135  5.1324 -2.5470 16.1020 14.6485 13.0835 12.0086 10.6106  9.2322  8.6894  8.4502 11.9832 13.7285
  16  0.150799  3.5148  5.1017 -2.4728 15.8660 14.4338 12.8794 11.8104 10.4222  9.0499  8.5069  8.2680 11.7888 13.5185
  17  0.162938  3.5164  5.0764 -2.4073 15.6486 14.2363 12.6925 11.6307 10.2543  8.8902  8.3465  8.1084 11.6135 13.3263
  18  0.174603  3.5183  5.0553 -2.3487 15.4474 14.0531 12.5200 11.4660 10.1027  8.7482  8.2035  7.9664 11.4538 13.1490
  19  0.185484  3.5202  5.0383 -2.2977 15.2694 13.8907 12.3673 11.3209  9.9704  8.6257  8.0797  7.8437 11.3135 12.9922
  20  0.195294  3.5219  5.0244 -2.2547 15.1185 13.7524 12.2372 11.1976  9.8583  8.5223  7.9750  7.7401 11.1943 12.8590
  21  0.203665  3.5233  5.0133 -2.2198 14.9973 13.6409 12.1322 11.0979  9.7677  8.4386  7.8902  7.6561 11.0979 12.7515
  22  0.210869  3.5245  5.0046 -2.1914 14.8987 13.5498 12.0465 11.0165  9.6938  8.3705  7.8212  7.5878 11.0192 12.6638
  23  0.217603  3.5256  4.9970 -2.1658 14.8100 13.4674 11.9689 10.9430  9.6271  8.3093  7.7588  7.5261 10.9482 12.5846
  24  0.224242  3.5266  4.9897 -2.1411 14.7250 13.3881 11.8942 10.8722  9.5628  8.2503  7.6987  7.4667 10.8797 12.5083
  25  0.231298  3.5278  4.9821 -2.1154 14.6362 13.3051 11.8161 10.7982  9.4959  8.1889  7.6361  7.4049 10.8082 12.4287
  26  0.239146  3.5291  4.9737 -2.0873 14.5388 13.2139 11.7302 10.7169  9.4226  8.1220  7.5676  7.3373 10.7298 12.3412
  27  0.247944  3.5307  4.9642 -2.0559 14.4298 13.1116 11.6340 10.6260  9.3408  8.0476  7.4913  7.2620 10.6421 12.2433
  28  0.257034  3.5323  4.9543 -2.0237 14.3178 13.0062 11.5349 10.5324  9.2569  7.9714  7.4130  7.1848 10.5519 12.1425
  29  0.264534  3.5337  4.9462 -1.9977 14.2271 12.9205 11.4543 10.4563  9.1890  7.9097  7.3495  7.1221 10.4786 12.0606
  30  0.270646  3.5348  4.9395 -1.9765 14.1533 12.8505 11.3885 10.3943  9.1338  7.8598  7.2981  7.0713 10.4190 11.9938
  31  0.275992  3.5359  4.9338 -1.9580 14.0885 12.7890 11.3307 10.3398  9.0855  7.8164  7.2532  7.0270 10.3667 11.9352
  32  0.281076  3.5369  4.9283 -1.9404 14.0265 12.7300 11.2752 10.2876  9.0395  7.7751  7.2104  6.9848 10.3166 11.8790
  33  0.286611  3.5381  4.9222 -1.9211 13.9588 12.6654 11.2145 10.2305  8.9892  7.7302  7.1638  6.9389 10.2618 11.8176
  34  0.293020  3.5395  4.9150 -1.8986 13.8792 12.5893 11.1428 10.1632  8.9302  7.6776  7.1092  6.8850 10.1974 11.7452
  35  0.301474  3.5416  4.9049 -1.8681 13.7715 12.4858 11.0455 10.0717  8.8503  7.6068  7.0354  6.8123 10.1098 11.6470
  36  0.333588  3.5509  4.8646 -1.7465 13.3383 12.0635 10.6460  9.6966  8.5281  7.3293  6.7441  6.5253  9.7527 11.2478
  37  0.359991  3.5602  4.8306 -1.6422 12.9687 11.6927 10.2910  9.3639  8.2523  7.0960  6.4969  6.2830  9.4390 10.8974
  38  0.372449  3.5651  4.8139 -1.5910 12.7882 11.5077 10.1122  9.1969  8.1188  6.9826  6.3761  6.1654  9.2829 10.7219
  39  0.383044  3.5696  4.7995 -1.5465 12.6320 11.3454  9.9545  9.0497  8.0028  6.8848  6.2714  6.0644  9.1457 10.5682
  40  0.393185  3.5741  4.7859 -1.5034 12.4817 11.1873  9.8003  8.9056  7.8903  6.7907  6.1706  5.9677  9.0116 10.4187
  41  0.403491  3.5790  4.7725 -1.4595 12.3284 11.0246  9.6410  8.7566  7.7756  6.6955  6.0683  5.8706  8.8732 10.2651
  42  0.413440  3.5839  4.7600 -1.4166 12.1762 10.8627  9.4820  8.6078  7.6637  6.6037  5.9693  5.7775  8.7356 10.1123
  43  0.422609  3.5887  4.7487 -1.3765 12.0332 10.7091  9.3314  8.4672  7.5591  6.5184  5.8772  5.6918  8.6057  9.9684
  44  0.431463  3.5936  4.7382 -1.3375 11.8969 10.5592  9.1869  8.3327  7.4573  6.4346  5.7870  5.6090  8.4803  9.8314
  45  0.440132  3.5986  4.7283 -1.2991 11.7654 10.4112  9.0468  8.2031  7.3573  6.3514  5.6978  5.5281  8.3582  9.6997
  46  0.448956  3.6038  4.7187 -1.2601 11.6286 10.2582  8.9027  8.0701  7.2559  6.2674  5.6085  5.4474  8.2329  9.5637
  47  0.457849  3.6092  4.7096 -1.2207 11.4832 10.0995  8.7529  7.9321  7.1538  6.1840  5.5209  5.3685  8.1035  9.4205
  48  0.466599  3.6149  4.7013 -1.1815 11.3365  9.9392  8.6033  7.7951  7.0524  6.1012  5.4352  5.2916  7.9745  9.2769
  49  0.475888  3.6212  4.6932 -1.1397 11.1788  9.7665  8.4453  7.6515  6.9445  6.0125  5.3451  5.2111  7.8378  9.1244
  50  0.485551  3.6280  4.6854 -1.0960 10.9999  9.5785  8.2775  7.5010  6.8312  5.9207  5.2554  5.1313  7.6934  8.9574
  51  0.495485  3.6351  4.6778 -1.0511 10.7954  9.3789  8.1031  7.3465  6.7139  5.8274  5.1684  5.0539  7.5437  8.7760
  52  0.501218  3.6392  4.6734 -1.0251 10.6664  9.2626  8.0024  7.2581  6.6460  5.7739  5.1206  5.0111  7.4573  8.6666
  53  0.506797  3.6434  4.6694 -0.9996 10.5326  9.1469  7.9035  7.1720  6.5790  5.7219  5.0758  4.9709  7.3726  8.5561
  54  0.512200  3.6476  4.6658 -0.9748 10.3955  9.0321  7.8068  7.0887  6.5131  5.6712  5.0340  4.9333  7.2898  8.4453
  55  0.517424  3.6516  4.6624 -0.9506 10.2565  8.9198  7.7132  7.0088  6.4489  5.6222  4.9948  4.8982  7.2098  8.3354
  56  0.522459  3.6556  4.6592 -0.9272 10.1159  8.8105  7.6230  6.9327  6.3868  5.5751  4.9579  4.8652  7.1329  8.2264
  57  0.527305  3.6595  4.6562 -0.9047  9.9760  8.7050  7.5364  6.8602  6.3269  5.5299  4.9229  4.8340  7.0593  8.1195
  58  0.532000  3.6633  4.6531 -0.8828  9.8395  8.6037  7.4537  6.7913  6.2691  5.4862  4.8897  4.8042  6.9888  8.0161
  59  0.536568  3.6669  4.6500 -0.8616  9.7075  8.5062  7.3742  6.7252  6.2131  5.4438  4.8582  4.7756  6.9209  7.9163
  60  0.541022  3.6704  4.6470 -0.8410  9.5789  8.4121  7.2977  6.6617  6.1587  5.4027  4.8280  4.7480  6.8555  7.8195
  61  0.545405  3.6737  4.6437 -0.8208  9.4542  8.3218  7.2239  6.6004  6.1057  5.3625  4.7984  4.7208  6.7922  7.7259
  62  0.549758  3.6770  4.6404 -0.8010  9.3322  8.2342  7.1521  6.5407  6.0538  5.3229  4.7694  4.6940  6.7305  7.6345
  63  0.554079  3.6801  4.6368 -0.7814  9.2131  8.1490  7.0821  6.4825  6.0029  5.2839  4.7406  4.6673  6.6702  7.5455
  64  0.558340  3.6832  4.6333 -0.7621  9.0965  8.0661  7.0140  6.4258  5.9532  5.2457  4.7123  4.6409  6.6114  7.4590
  65  0.562573  3.6863  4.6296 -0.7430  8.9829  7.9852  6.9474  6.3703  5.9043  5.2079  4.6840  4.6144  6.5538  7.3748
  66  0.566759  3.6892  4.6259 -0.7242  8.8728  7.9065  6.8824  6.3159  5.8564  5.1707  4.6560  4.5881  6.4974  7.2931
  67  0.570901  3.6921  4.6220 -0.7057  8.7687  7.8301  6.8191  6.2628  5.8092  5.1337  4.6281  4.5618  6.4423  7.2139
  68  0.574998  3.6949  4.6181 -0.6874  8.6686  7.7557  6.7573  6.2108  5.7629  5.0972  4.6004  4.5356  6.3882  7.1370
  69  0.579037  3.6977  4.6142 -0.6694  8.5711  7.6833  6.6971  6.1599  5.7174  5.0613  4.5729  4.5096  6.3354  7.0627
  70  0.583030  3.7003  4.6100 -0.6516  8.4737  7.6126  6.6383  6.1101  5.6729  5.0261  4.5457  4.4838  6.2837  6.9907
  71  0.586960  3.7029  4.6058 -0.6341  8.3765  7.5436  6.5810  6.0613  5.6293  4.9916  4.5190  4.4584  6.2331  6.9210
  72  0.590816  3.7054  4.6015 -0.6169  8.2812  7.4764  6.5254  6.0137  5.5867  4.9579  4.4925  4.4333  6.1838  6.8538
  73  0.594600  3.7079  4.5971 -0.6001  8.1885  7.4112  6.4713  5.9674  5.5451  4.9247  4.4664  4.4084  6.1357  6.7890
  74  0.598295  3.7102  4.5927 -0.5836  8.0995  7.3482  6.4190  5.9224  5.5045  4.8921  4.4405  4.3837  6.0891  6.7269
  75  0.601902  3.7125  4.5883 -0.5675  8.0134  7.2872  6.3683  5.8786  5.4650  4.8602  4.4151  4.3594  6.0437  6.6672
  76  0.605438  3.7147  4.5838 -0.5516  7.9299  7.2280  6.3192  5.8359  5.4263  4.8289  4.3899  4.3353  5.9995  6.6096
  77  0.608893  3.7168  4.5792 -0.5361  7.8491  7.1704  6.2714  5.7944  5.3886  4.7982  4.3651  4.3115  5.9565  6.5541
  78  0.612280  3.7188  4.5746 -0.5209  7.7706  7.1144  6.2250  5.7538  5.3517  4.7680  4.3406  4.2880  5.9145  6.5005
  79  0.615606  3.7208  4.5699 -0.5060  7.6944  7.0599  6.1797  5.7141  5.3155  4.7384  4.3162  4.2647  5.8735  6.4485
