#NUMBER OF AGES=37 MAGS=10
#----------------------------------------------------       
#MIX-LEN  Y      Z          Zeff        [Fe/H] [a/Fe]
# 1.9380  0.2478 1.7242E-03 1.7242E-03  -1.00   0.00
#----------------------------------------------------       
#**PHOTOMETRIC SYSTEM**: Bessell UBV(RI)c + 2MASS JHKs + Kepler (Vega)
#----------------------------------------------------       
#AGE= 1.000 EEPS=278
#EEP   M/Mo    LogTeff  LogG   LogL/Lo U       B       V       R       I       J       H       Ks      Kp      D51     
#AGE= 1.000 EEPS=274
#EEP   M/Mo    LogTeff  LogG   LogL/Lo U       B       V       R       I       J       H       Ks      Kp      D51     
  40  1.001249  3.8344  4.4952  0.2344  4.3693  4.5952  4.2374  4.0052  3.7667  3.4709  3.2653  3.2488  4.0819  4.3094
  41  1.041543  3.8455  4.4728  0.3181  4.1449  4.3554  4.0227  3.8087  3.5888  3.3171  3.1340  3.1186  3.8790  4.0861
  42  1.075281  3.8550  4.4567  0.3863  3.9712  4.1569  3.8474  3.6513  3.4493  3.1967  3.0333  3.0192  3.7151  3.9028
  43  1.101308  3.8628  4.4469  0.4376  3.8360  4.0092  3.7149  3.5313  3.3426  3.1073  2.9606  2.9461  3.5908  3.7647
  44  1.118992  3.8685  4.4425  0.4718  3.7443  3.9106  3.6263  3.4513  3.2722  3.0500  2.9155  2.9002  3.5078  3.6722
  45  1.133667  3.8735  4.4398  0.4998  3.6744  3.8279  3.5538  3.3879  3.2184  3.0061  2.8817  2.8665  3.4411  3.5959
  46  1.147868  3.8784  4.4382  0.5266  3.6090  3.7482  3.4847  3.3283  3.1687  2.9658  2.8512  2.8364  3.3779  3.5227
  47  1.162593  3.8837  4.4375  0.5542  3.5386  3.6671  3.4136  3.2663  3.1166  2.9246  2.8205  2.8056  3.3126  3.4479
  48  1.177446  3.8893  4.4379  0.5818  3.4645  3.5871  3.3427  3.2036  3.0635  2.8835  2.7905  2.7750  3.2469  3.3737
  49  1.191765  3.8948  4.4389  0.6079  3.3955  3.5114  3.2761  3.1454  3.0150  2.8462  2.7634  2.7477  3.1856  3.3037
  50  1.204879  3.8995  4.4392  0.6311  3.3365  3.4450  3.2178  3.0950  2.9734  2.8134  2.7388  2.7233  3.1322  3.2424
  51  1.216793  3.9037  4.4399  0.6515  3.2848  3.3863  3.1668  3.0510  2.9375  2.7853  2.7180  2.7027  3.0855  3.1886
  52  1.225080  3.9066  4.4403  0.6655  3.2495  3.3461  3.1319  3.0210  2.9130  2.7662  2.7040  2.6887  3.0536  3.1518
  53  1.233447  3.9095  4.4408  0.6796  3.2138  3.3056  3.0968  2.9909  2.8884  2.7471  2.6900  2.6747  3.0214  3.1147
  54  1.242014  3.9124  4.4410  0.6941  3.1771  3.2643  3.0608  2.9599  2.8632  2.7273  2.6752  2.6600  2.9885  3.0769
  55  1.250899  3.9155  4.4411  0.7094  3.1379  3.2208  3.0228  2.9271  2.8366  2.7063  2.6596  2.6445  2.9537  3.0369
  56  1.259838  3.9186  4.4408  0.7251  3.0978  3.1770  2.9843  2.8937  2.8093  2.6844  2.6428  2.6278  2.9183  2.9965
  57  1.268814  3.9218  4.4405  0.7413  3.0567  3.1324  2.9455  2.8600  2.7819  2.6623  2.6258  2.6110  2.8826  2.9557
  58  1.278054  3.9249  4.4398  0.7578  3.0152  3.0873  2.9066  2.8263  2.7539  2.6396  2.6078  2.5930  2.8466  2.9148
  59  1.287757  3.9282  4.4390  0.7751  2.9724  3.0406  2.8672  2.7922  2.7255  2.6166  2.5892  2.5745  2.8099  2.8732
  60  1.298052  3.9317  4.4382  0.7932  2.9286  2.9924  2.8276  2.7583  2.6969  2.5938  2.5705  2.5558  2.7730  2.8313
  61  1.308024  3.9348  4.4371  0.8101  2.8879  2.9481  2.7913  2.7269  2.6701  2.5720  2.5522  2.5375  2.7388  2.7929
  62  1.316377  3.9375  4.4364  0.8245  2.8535  2.9112  2.7611  2.7009  2.6478  2.5540  2.5370  2.5224  2.7104  2.7610
  63  1.324089  3.9400  4.4354  0.8378  2.8217  2.8778  2.7335  2.6769  2.6271  2.5371  2.5224  2.5080  2.6843  2.7319
  64  1.333246  3.9427  4.4342  0.8530  2.7852  2.8399  2.7021  2.6494  2.6033  2.5175  2.5055  2.4912  2.6546  2.6989
  65  1.422259  3.9663  4.4162  0.9931  2.4436  2.5134  2.4211  2.3948  2.3770  2.3251  2.3325  2.3218  2.3850  2.4083
  66  1.426370  3.9672  4.4133  1.0010  2.4241  2.4951  2.4045  2.3791  2.3622  2.3116  2.3197  2.3092  2.3688  2.3913
  67  1.431377  3.9683  4.4103  1.0100  2.4019  2.4745  2.3859  2.3615  2.3459  2.2968  2.3057  2.2954  2.3506  2.3724
  68  1.441469  3.9706  4.4070  1.0254  2.3640  2.4402  2.3554  2.3330  2.3197  2.2736  2.2840  2.2742  2.3210  2.3413
  69  1.516881  3.9859  4.3768  1.1392  2.0838  2.1908  2.1308  2.1199  2.1207  2.0945  2.1138  2.1073  2.1009  2.1128
  70  1.521559  3.9865  4.3724  1.1471  2.0641  2.1723  2.1132  2.1028  2.1041  2.0785  2.0981  2.0917  2.0836  2.0952
  71  1.524662  3.9866  4.3676  1.1534  2.0480  2.1565  2.0979  2.0876  2.0892  2.0637  2.0834  2.0771  2.0683  2.0798
  72  1.527644  3.9867  4.3624  1.1597  2.0322  2.1407  2.0824  2.0722  2.0740  2.0486  2.0683  2.0621  2.0529  2.0643
  73  1.531987  3.9870  4.3573  1.1674  2.0130  2.1222  2.0645  2.0546  2.0567  2.0316  2.0515  2.0454  2.0350  2.0463
  74  1.541323  3.9883  4.3516  1.1807  1.9800  2.0921  2.0365  2.0274  2.0305  2.0070  2.0275  2.0217  2.0073  2.0181
  75  1.630966  4.0014  4.2895  1.3198  1.6342  1.7825  1.7467  1.7452  1.7583  1.7505  1.7763  1.7741  1.7202  1.7260
  76  1.635317  4.0011  4.2817  1.3276  1.6144  1.7617  1.7259  1.7243  1.7373  1.7292  1.7549  1.7527  1.6993  1.7052
  77  1.640278  4.0008  4.2737  1.3359  1.5930  1.7396  1.7037  1.7021  1.7151  1.7066  1.7322  1.7300  1.6772  1.6830
  78  1.646121  4.0006  4.2650  1.3453  1.5691  1.7150  1.6791  1.6775  1.6906  1.6818  1.7073  1.7051  1.6526  1.6585
  79  1.653104  4.0004  4.2551  1.3563  1.5411  1.6864  1.6506  1.6490  1.6621  1.6530  1.6784  1.6762  1.6241  1.6300
  80  1.660743  4.0001  4.2436  1.3684  1.5100  1.6542  1.6184  1.6167  1.6299  1.6203  1.6456  1.6434  1.5919  1.5979
  81  1.668824  3.9996  4.2306  1.3815  1.4765  1.6191  1.5831  1.5813  1.5944  1.5842  1.6093  1.6070  1.5566  1.5627
  82  1.673951  3.9992  4.2220  1.3898  1.4552  1.5965  1.5603  1.5585  1.5715  1.5607  1.5856  1.5833  1.5338  1.5400
  83  1.679030  3.9987  4.2132  1.3981  1.4340  1.5739  1.5374  1.5354  1.5483  1.5369  1.5616  1.5593  1.5108  1.5171
  84  1.683989  3.9982  4.2043  1.4061  1.4132  1.5515  1.5147  1.5126  1.5253  1.5133  1.5378  1.5354  1.4881  1.4945
  85  1.688804  3.9976  4.1954  1.4140  1.3931  1.5296  1.4924  1.4901  1.5026  1.4898  1.5141  1.5116  1.4657  1.4723
  86  1.693483  3.9970  4.1868  1.4215  1.3737  1.5083  1.4708  1.4682  1.4806  1.4670  1.4910  1.4885  1.4440  1.4507
  87  1.698000  3.9964  4.1782  1.4287  1.3551  1.4878  1.4498  1.4470  1.4591  1.4447  1.4685  1.4658  1.4230  1.4298
  88  1.702305  3.9957  4.1699  1.4355  1.3375  1.4682  1.4296  1.4267  1.4385  1.4233  1.4468  1.4440  1.4028  1.4098
  89  1.706459  3.9950  4.1616  1.4421  1.3204  1.4489  1.4099  1.4066  1.4182  1.4021  1.4253  1.4224  1.3829  1.3901
  90  1.710507  3.9943  4.1534  1.4485  1.3039  1.4302  1.3906  1.3871  1.3983  1.3813  1.4042  1.4012  1.3635  1.3709
  91  1.714483  3.9936  4.1450  1.4548  1.2875  1.4114  1.3712  1.3674  1.3784  1.3603  1.3829  1.3798  1.3441  1.3517
  92  1.718415  3.9928  4.1367  1.4610  1.2713  1.3929  1.3520  1.3480  1.3585  1.3395  1.3617  1.3585  1.3248  1.3326
  93  1.722320  3.9919  4.1280  1.4672  1.2552  1.3742  1.3326  1.3282  1.3383  1.3182  1.3401  1.3366  1.3052  1.3133
  94  1.726217  3.9911  4.1193  1.4734  1.2391  1.3554  1.3130  1.3082  1.3180  1.2967  1.3182  1.3146  1.2855  1.2939
  95  1.730124  3.9901  4.1101  1.4796  1.2229  1.3362  1.2930  1.2879  1.2971  1.2746  1.2956  1.2918  1.2654  1.2741
  96  1.734027  3.9891  4.1007  1.4859  1.2066  1.3168  1.2727  1.2671  1.2758  1.2520  1.2725  1.2685  1.2449  1.2539
  97  1.737952  3.9880  4.0909  1.4923  1.1900  1.2969  1.2518  1.2457  1.2539  1.2286  1.2486  1.2445  1.2238  1.2332
  98  1.741944  3.9868  4.0808  1.4988  1.1732  1.2765  1.2304  1.2238  1.2313  1.2045  1.2240  1.2197  1.2023  1.2119
  99  1.745937  3.9856  4.0703  1.5053  1.1562  1.2557  1.2084  1.2013  1.2081  1.1797  1.1986  1.1940  1.1801  1.1902
 100  1.749924  3.9842  4.0591  1.5120  1.1388  1.2343  1.1856  1.1780  1.1840  1.1538  1.1720  1.1672  1.1571  1.1676
 101  1.753949  3.9828  4.0477  1.5189  1.1210  1.2123  1.1624  1.1540  1.1593  1.1273  1.1448  1.1397  1.1336  1.1446
 102  1.757973  3.9814  4.0359  1.5260  1.1029  1.1899  1.1386  1.1296  1.1340  1.1001  1.1169  1.1115  1.1096  1.1211
 103  1.761972  3.9800  4.0240  1.5332  1.0844  1.1672  1.1145  1.1049  1.1084  1.0726  1.0886  1.0830  1.0852  1.0972
 104  1.765917  3.9785  4.0119  1.5404  1.0659  1.1443  1.0902  1.0799  1.0825  1.0447  1.0600  1.0541  1.0607  1.0732
 105  1.769805  3.9771  4.0000  1.5478  1.0471  1.1215  1.0660  1.0550  1.0568  1.0172  1.0316  1.0255  1.0362  1.0492
 106  1.773624  3.9759  3.9886  1.5553  1.0281  1.0988  1.0424  1.0308  1.0317  0.9904  1.0042  0.9979  1.0123  1.0257
 107  1.777309  3.9750  3.9782  1.5629  1.0089  1.0768  1.0197  1.0077  1.0080  0.9654  0.9786  0.9721  0.9894  1.0032
 108  1.780803  3.9746  3.9697  1.5706  0.9895  1.0559  0.9988  0.9867  0.9868  0.9436  0.9565  0.9499  0.9685  0.9824
 109  1.783956  3.9749  3.9640  1.5782  0.9704  1.0374  0.9811  0.9692  0.9696  0.9267  0.9397  0.9332  0.9508  0.9646
 110  1.786584  3.9760  3.9621  1.5853  0.9523  1.0223  0.9679  0.9568  0.9580  0.9167  0.9302  0.9241  0.9378  0.9511
 111  1.788625  3.9779  3.9638  1.5918  0.9358  1.0112  0.9595  0.9496  0.9523  0.9136  0.9280  0.9223  0.9299  0.9423
 112  1.788828  3.9782  3.9642  1.5925  0.9340  1.0101  0.9588  0.9491  0.9520  0.9136  0.9282  0.9226  0.9293  0.9416
 113  1.789031  3.9785  3.9648  1.5933  0.9321  1.0091  0.9582  0.9487  0.9518  0.9138  0.9286  0.9230  0.9287  0.9409
 114  1.789234  3.9788  3.9653  1.5941  0.9302  1.0081  0.9576  0.9482  0.9515  0.9140  0.9289  0.9234  0.9282  0.9402
 115  1.789436  3.9792  3.9659  1.5949  0.9282  1.0071  0.9570  0.9478  0.9514  0.9143  0.9295  0.9240  0.9277  0.9396
 116  1.789637  3.9795  3.9665  1.5957  0.9262  1.0061  0.9565  0.9475  0.9513  0.9147  0.9300  0.9246  0.9272  0.9390
 117  1.789839  3.9799  3.9673  1.5965  0.9241  1.0052  0.9561  0.9473  0.9514  0.9153  0.9308  0.9255  0.9269  0.9385
 118  1.790040  3.9803  3.9682  1.5973  0.9220  1.0042  0.9557  0.9471  0.9515  0.9159  0.9316  0.9264  0.9266  0.9380
 119  1.790240  3.9808  3.9691  1.5982  0.9199  1.0033  0.9553  0.9470  0.9517  0.9167  0.9326  0.9275  0.9263  0.9376
 120  1.790439  3.9812  3.9700  1.5991  0.9177  1.0024  0.9550  0.9469  0.9519  0.9175  0.9336  0.9286  0.9260  0.9372
 121  1.790638  3.9817  3.9711  1.6000  0.9154  1.0016  0.9548  0.9470  0.9523  0.9185  0.9349  0.9301  0.9259  0.9369
 122  1.790837  3.9822  3.9723  1.6010  0.9130  1.0008  0.9546  0.9471  0.9528  0.9197  0.9364  0.9316  0.9259  0.9366
 123  1.791034  3.9828  3.9736  1.6019  0.9106  1.0000  0.9545  0.9473  0.9534  0.9210  0.9379  0.9333  0.9259  0.9364
 124  1.791230  3.9834  3.9750  1.6030  0.9081  0.9993  0.9545  0.9476  0.9541  0.9225  0.9397  0.9352  0.9260  0.9363
 125  1.791426  3.9840  3.9765  1.6040  0.9055  0.9986  0.9545  0.9480  0.9549  0.9242  0.9417  0.9373  0.9262  0.9362
 126  1.791619  3.9847  3.9782  1.6052  0.9028  0.9980  0.9547  0.9485  0.9559  0.9260  0.9438  0.9396  0.9265  0.9363
 127  1.791812  3.9854  3.9800  1.6063  0.9000  0.9973  0.9549  0.9491  0.9570  0.9280  0.9462  0.9422  0.9269  0.9364
 128  1.792002  3.9862  3.9820  1.6075  0.8970  0.9968  0.9553  0.9498  0.9583  0.9303  0.9489  0.9450  0.9274  0.9366
 129  1.792190  3.9871  3.9841  1.6088  0.8940  0.9964  0.9558  0.9508  0.9597  0.9329  0.9518  0.9482  0.9280  0.9370
 130  1.792375  3.9880  3.9865  1.6102  0.8907  0.9959  0.9564  0.9518  0.9614  0.9357  0.9551  0.9516  0.9288  0.9374
 131  1.792556  3.9890  3.9890  1.6117  0.8871  0.9954  0.9570  0.9529  0.9631  0.9387  0.9585  0.9553  0.9296  0.9379
 132  1.792733  3.9901  3.9918  1.6133  0.8835  0.9951  0.9579  0.9543  0.9652  0.9421  0.9624  0.9595  0.9307  0.9386
 133  1.792907  3.9912  3.9948  1.6149  0.8797  0.9949  0.9589  0.9559  0.9675  0.9459  0.9667  0.9640  0.9319  0.9395
 134  1.793075  3.9924  3.9980  1.6167  0.8758  0.9948  0.9602  0.9577  0.9700  0.9500  0.9713  0.9689  0.9334  0.9405
 135  1.793238  3.9938  4.0015  1.6185  0.8716  0.9948  0.9615  0.9596  0.9728  0.9544  0.9762  0.9741  0.9350  0.9417
 136  1.793395  3.9951  4.0052  1.6204  0.8673  0.9949  0.9631  0.9618  0.9758  0.9591  0.9815  0.9797  0.9367  0.9430
 137  1.793544  3.9966  4.0090  1.6225  0.8627  0.9950  0.9648  0.9641  0.9789  0.9640  0.9870  0.9856  0.9386  0.9445
 138  1.793682  3.9982  4.0130  1.6247  0.8578  0.9950  0.9664  0.9664  0.9820  0.9691  0.9926  0.9916  0.9405  0.9459
 139  1.793810  3.9997  4.0171  1.6271  0.8526  0.9950  0.9680  0.9687  0.9851  0.9741  0.9982  0.9976  0.9423  0.9473
 140  1.793928  4.0014  4.0213  1.6295  0.8471  0.9950  0.9698  0.9711  0.9884  0.9794  1.0041  1.0039  0.9442  0.9488
 141  1.794038  4.0031  4.0255  1.6321  0.8415  0.9950  0.9716  0.9735  0.9916  0.9848  1.0100  1.0102  0.9462  0.9504
 142  1.794138  4.0048  4.0299  1.6347  0.8358  0.9950  0.9734  0.9760  0.9949  0.9902  1.0160  1.0167  0.9482  0.9520
 143  1.794230  4.0066  4.0342  1.6374  0.8298  0.9949  0.9751  0.9783  0.9980  0.9955  1.0218  1.0229  0.9501  0.9535
 144  1.794312  4.0083  4.0382  1.6402  0.8237  0.9946  0.9765  0.9803  1.0008  1.0003  1.0273  1.0288  0.9517  0.9547
 145  1.794384  4.0100  4.0422  1.6431  0.8175  0.9940  0.9777  0.9821  1.0034  1.0049  1.0324  1.0343  0.9530  0.9557
 146  1.794451  4.0117  4.0460  1.6460  0.8113  0.9935  0.9788  0.9837  1.0058  1.0093  1.0373  1.0397  0.9543  0.9566
 147  1.794510  4.0133  4.0496  1.6490  0.8051  0.9927  0.9795  0.9851  1.0078  1.0133  1.0418  1.0446  0.9552  0.9572
