#NUMBER OF AGES=1 MAGS=10
#----------------------------------------------------       
#MIX-LEN  Y      Z          Zeff        [Fe/H] [a/Fe]
# 1.9380  0.3300 1.5308E-03 1.5308E-03  -1.00   0.00
#----------------------------------------------------       
#**PHOTOMETRIC SYSTEM**: Bessell UBV(RI)c + 2MASS JHKs + Kepler (Vega)
#AGE= 3.000 EEPS=272
#EEP   M/Mo    LogTeff  LogG   LogL/Lo U       B       V       R       I       J       H       Ks      Kp      D51     
  47  0.667546  3.7737  4.6554 -0.3447  6.1093  6.2555  5.7110  5.3793  5.0466  4.6162  4.3027  4.2645  5.4903  5.8337
  48  0.679902  3.7790  4.6426 -0.3027  5.9549  6.1266  5.6038  5.2812  4.9562  4.5382  4.2338  4.1982  5.3891  5.7211
  49  0.689998  3.7833  4.6320 -0.2687  5.8419  6.0240  5.5155  5.1995  4.8810  4.4728  4.1758  4.1421  5.3052  5.6294
  50  0.698656  3.7869  4.6230 -0.2397  5.7465  5.9372  5.4407  5.1303  4.8173  4.4176  4.1270  4.0947  5.2341  5.5517
  51  0.706584  3.7903  4.6150 -0.2133  5.6577  5.8581  5.3732  5.0683  4.7603  4.3683  4.0835  4.0527  5.1702  5.4812
  52  0.712298  3.7928  4.6093 -0.1942  5.5940  5.8011  5.3248  5.0240  4.7197  4.3331  4.0523  4.0227  5.1245  5.4306
  53  0.717990  3.7952  4.6036 -0.1753  5.5314  5.7441  5.2767  4.9803  4.6799  4.2982  4.0205  3.9925  5.0792  5.3803
  54  0.723662  3.7976  4.5980 -0.1565  5.4701  5.6878  5.2289  4.9369  4.6405  4.2636  3.9890  3.9626  5.0343  5.3304
  55  0.729309  3.8000  4.5923 -0.1379  5.4107  5.6324  5.1816  4.8938  4.6012  4.2291  3.9579  3.9328  4.9897  5.2810
  56  0.734931  3.8023  4.5865 -0.1195  5.3535  5.5783  5.1348  4.8507  4.5617  4.1946  3.9276  3.9034  4.9454  5.2323
  57  0.740525  3.8046  4.5806 -0.1013  5.2980  5.5253  5.0885  4.8080  4.5224  4.1604  3.8976  3.8740  4.9014  5.1842
  58  0.746094  3.8067  4.5745 -0.0834  5.2440  5.4735  5.0429  4.7658  4.4834  4.1263  3.8676  3.8446  4.8581  5.1368
  59  0.751632  3.8088  4.5682 -0.0657  5.1913  5.4227  4.9981  4.7242  4.4449  4.0924  3.8374  3.8151  4.8153  5.0903
  60  0.757158  3.8107  4.5617 -0.0483  5.1401  5.3729  4.9538  4.6831  4.4068  4.0586  3.8072  3.7855  4.7731  5.0445
