#NUMBER OF AGES=1 
#----------------------------------------------------       
#MIX-LEN  Y      Z          Zeff        [Fe/H] [a/Fe]
# 1.9380  0.3300 4.8170E-03 4.8170E-03  -0.50   0.00
#----------------------------------------------------       
#**PHOTOMETRIC SYSTEM**: Bessell UBV(RI)c + 2MASS JHKs + Kepler (Vega)
#----------------------------------------------------       
#AGE= 1.000 EEPS=277
#EEP   M/Mo    LogTeff  LogG   LogL/Lo U       B       V       R       I       J       H       Ks      Kp      D51     
  42  0.896478  3.8153  4.5003  0.1047  4.7999  4.9560  4.5295  4.2644  4.0029  3.6747  3.4428  3.4226  4.3550  4.6267
  43  0.914983  3.8200  4.4831  0.1495  4.6683  4.8275  4.4156  4.1583  3.9043  3.5864  3.3638  3.3443  4.2461  4.5088
  44  0.930576  3.8239  4.4684  0.1871  4.5595  4.7203  4.3201  4.0693  3.8215  3.5122  3.2972  3.2785  4.1547  4.4099
  45  1.015881  3.8459  4.4059  0.3760  4.0301  4.1801  3.8389  3.6249  3.4140  3.1527  2.9817  2.9652  3.6970  3.9104
  46  1.027064  3.8489  4.3982  0.4003  3.9656  4.1101  3.7766  3.5681  3.3626  3.1074  2.9426  2.9262  3.6382  3.8456
  47  1.037020  3.8516  4.3914  0.4219  3.9087  4.0477  3.7212  3.5177  3.3173  3.0675  2.9083  2.8921  3.5859  3.7878
  48  1.048247  3.8547  4.3847  0.4458  3.8465  3.9786  3.6600  3.4624  3.2680  3.0244  2.8718  2.8557  3.5284  3.7239
  49  1.060185  3.8581  4.3784  0.4706  3.7814  3.9064  3.5962  3.4049  3.2170  2.9803  2.8349  2.8188  3.4686  3.6572
  50  1.071600  3.8614  4.3730  0.4941  3.7188  3.8387  3.5360  3.3506  3.1688  2.9390  2.8005  2.7844  3.4121  3.5942
  51  1.082841  3.8649  4.3683  0.5170  3.6578  3.7728  3.4775  3.2978  3.1223  2.8996  2.7679  2.7518  3.3572  3.5329
  52  1.090714  3.8673  4.3654  0.5329  3.6155  3.7271  3.4370  3.2615  3.0903  2.8728  2.7460  2.7297  3.3193  3.4904
  53  1.098834  3.8699  4.3628  0.5491  3.5724  3.6803  3.3955  3.2244  3.0580  2.8458  2.7241  2.7078  3.2807  3.4469
  54  1.106678  3.8725  4.3606  0.5646  3.5312  3.6352  3.3559  3.1892  3.0276  2.8206  2.7039  2.6876  3.2438  3.4052
  55  1.113468  3.8748  4.3591  0.5780  3.4956  3.5961  3.3215  3.1588  3.0016  2.7992  2.6871  2.6707  3.2119  3.3690
  56  1.119600  3.8769  4.3578  0.5903  3.4632  3.5604  3.2903  3.1313  2.9780  2.7800  2.6720  2.6556  3.1830  3.3360
  57  1.125812  3.8791  4.3566  0.6026  3.4306  3.5245  3.2589  3.1036  2.9545  2.7608  2.6569  2.6405  3.1539  3.3028
  58  1.133915  3.8819  4.3553  0.6182  3.3897  3.4791  3.2192  3.0689  2.9250  2.7369  2.6384  2.6219  3.1173  3.2609
  59  1.221821  3.9090  4.3377  0.7767  2.9712  3.0316  2.8232  2.7178  2.6235  2.4872  2.4357  2.4195  2.7486  2.8451
  60  1.224901  3.9097  4.3350  0.7831  2.9550  3.0141  2.8071  2.7030  2.6102  2.4750  2.4246  2.4084  2.7333  2.8284
  61  1.228055  3.9104  4.3324  0.7897  2.9385  2.9962  2.7908  2.6880  2.5966  2.4626  2.4134  2.3973  2.7177  2.8115
