#NUMBER OF AGES=1 
#----------------------------------------------------       
#MIX-LEN  Y      Z          Zeff        [Fe/H] [a/Fe]
# 1.9380  0.2826 2.3222E-02 5.2928E-03  -0.48   0.80
#----------------------------------------------------       
#**PHOTOMETRIC SYSTEM**: Bessell UBV(RI)c + 2MASS JHKs + Kepler (Vega)
#----------------------------------------------------       
#AGE= 1.000 EEPS=278
#EEP   M/Mo    LogTeff  LogG   LogL/Lo U       B       V       R       I       J       H       Ks      Kp      D51     
  42  1.392354  3.8374  4.2433  0.6412  3.3821  3.5186  3.1610  2.9326  2.7088  2.4440  2.2651  2.2579  3.0089  3.2383
  43  1.409933  3.8402  4.2328  0.6686  3.3035  3.4409  3.0919  2.8684  2.6493  2.3908  2.2167  2.2103  2.9428  3.1667
  44  1.427407  3.8429  4.2225  0.6949  3.2284  3.3661  3.0252  2.8064  2.5917  2.3393  2.1697  2.1640  2.8790  3.0977
  45  1.445652  3.8456  4.2121  0.7217  3.1529  3.2903  2.9577  2.7437  2.5335  2.2871  2.1221  2.1170  2.8143  3.0278
  46  1.466169  3.8486  4.2011  0.7508  3.0711  3.2075  2.8841  2.6755  2.4705  2.2307  2.0707  2.0665  2.7439  2.9516
  47  1.487417  3.8516  4.1900  0.7802  2.9890  3.1238  2.8099  2.6068  2.4070  2.1738  2.0189  2.0155  2.6729  2.8748
  48  1.511987  3.8554  4.1797  0.8127  2.8976  3.0306  2.7281  2.5318  2.3385  2.1134  1.9648  1.9624  2.5951  2.7898
  49  1.530139  3.8581  4.1716  0.8369  2.8300  2.9615  2.6671  2.4757  2.2870  2.0678  1.9236  1.9219  2.5369  2.7265
  50  1.547341  3.8604  4.1630  0.8595  2.7677  2.8980  2.6102  2.4229  2.2381  2.0239  1.8835  1.8823  2.4824  2.6678
  51  1.564398  3.8624  4.1540  0.8814  2.7081  2.8371  2.5552  2.3715  2.1903  1.9805  1.8434  1.8427  2.4295  2.6111
  52  1.572567  3.8633  4.1491  0.8920  2.6796  2.8079  2.5286  2.3465  2.1667  1.9587  1.8231  1.8226  2.4038  2.5837
  53  1.580563  3.8641  4.1441  0.9024  2.6519  2.7795  2.5025  2.3218  2.1435  1.9372  1.8030  1.8025  2.3786  2.5570
  54  1.588471  3.8648  4.1390  0.9127  2.6246  2.7515  2.4767  2.2974  2.1203  1.9157  1.7826  1.7824  2.3535  2.5306
  55  1.596325  3.8655  4.1337  0.9229  2.5975  2.7237  2.4510  2.2729  2.0971  1.8940  1.7620  1.7619  2.3285  2.5042
  56  1.604203  3.8662  4.1280  0.9332  2.5704  2.6959  2.4250  2.2482  2.0735  1.8717  1.7409  1.7409  2.3033  2.4777
  57  1.611914  3.8667  4.1221  0.9434  2.5439  2.6686  2.3994  2.2236  2.0499  1.8494  1.7195  1.7196  2.2783  2.4517
  58  1.619427  3.8672  4.1161  0.9535  2.5179  2.6419  2.3742  2.1993  2.0265  1.8270  1.6980  1.6982  2.2535  2.4260
  59  1.627189  3.8676  4.1097  0.9637  2.4916  2.6148  2.3485  2.1744  2.0025  1.8039  1.6756  1.6759  2.2283  2.3999
  60  1.635131  3.8681  4.1030  0.9741  2.4650  2.5873  2.3223  2.1491  1.9779  1.7803  1.6526  1.6531  2.2026  2.3733
  61  1.643022  3.8685  4.0965  0.9846  2.4381  2.5596  2.2960  2.1237  1.9534  1.7567  1.6298  1.6303  2.1768  2.3466
  62  1.651627  3.8689  4.0895  0.9955  2.4100  2.5306  2.2684  2.0969  1.9275  1.7318  1.6057  1.6063  2.1497  2.3186
  63  1.660482  3.8694  4.0826  1.0067  2.3813  2.5010  2.2403  2.0698  1.9013  1.7066  1.5813  1.5820  2.1222  2.2901
  64  1.669552  3.8700  4.0757  1.0180  2.3521  2.4709  2.2119  2.0424  1.8748  1.6812  1.5569  1.5577  2.0943  2.2612
  65  1.678804  3.8705  4.0688  1.0295  2.3225  2.4404  2.1830  2.0146  1.8480  1.6556  1.5322  1.5331  2.0660  2.2319
  66  1.688093  3.8710  4.0619  1.0411  2.2927  2.4097  2.1540  1.9866  1.8211  1.6299  1.5074  1.5084  2.0376  2.2024
  67  1.697747  3.8715  4.0543  1.0529  2.2625  2.3785  2.1243  1.9579  1.7932  1.6030  1.4813  1.4824  2.0084  2.1723
  68  1.707860  3.8719  4.0463  1.0651  2.2314  2.3463  2.0934  1.9278  1.7640  1.5747  1.4537  1.4549  1.9780  2.1411
  69  1.718525  3.8723  4.0377  1.0780  2.1988  2.3128  2.0611  1.8963  1.7333  1.5448  1.4244  1.4257  1.9462  2.1084
  70  1.729403  3.8726  4.0288  1.0910  2.1660  2.2789  2.0284  1.8644  1.7020  1.5143  1.3946  1.3959  1.9139  2.0753
  71  1.739661  3.8729  4.0199  1.1033  2.1350  2.2468  1.9973  1.8338  1.6720  1.4849  1.3656  1.3670  1.8831  2.0440
  72  1.749546  3.8730  4.0111  1.1150  2.1062  2.2171  1.9680  1.8049  1.6433  1.4564  1.3373  1.3387  1.8540  2.0145
  73  1.758291  3.8729  4.0027  1.1253  2.0810  2.1910  1.9420  1.7789  1.6173  1.4303  1.3112  1.3126  1.8279  1.9885
  74  1.766264  3.8727  3.9946  1.1347  2.0583  2.1675  1.9183  1.7550  1.5933  1.4059  1.2866  1.2880  1.8041  1.9649
  75  1.773780  3.8724  3.9865  1.1435  2.0374  2.1458  1.8960  1.7324  1.5703  1.3824  1.2628  1.2641  1.7817  1.9427
  76  1.781177  3.8721  3.9783  1.1521  2.0171  2.1247  1.8742  1.7102  1.5476  1.3590  1.2390  1.2402  1.7596  1.9212
  77  1.788689  3.8717  3.9699  1.1608  1.9966  2.1035  1.8522  1.6876  1.5246  1.3352  1.2147  1.2158  1.7373  1.8994
  78  1.796619  3.8713  3.9611  1.1699  1.9753  2.0814  1.8291  1.6640  1.5004  1.3102  1.1890  1.1901  1.7139  1.8765
  79  1.805313  3.8708  3.9514  1.1798  1.9522  2.0573  1.8040  1.6382  1.4740  1.2828  1.1610  1.1620  1.6884  1.8517
  80  1.814750  3.8703  3.9406  1.1906  1.9271  2.0313  1.7767  1.6101  1.4451  1.2528  1.1302  1.1311  1.6607  1.8248
  81  1.824777  3.8696  3.9288  1.2021  1.9006  2.0036  1.7475  1.5800  1.4140  1.2203  1.0969  1.0975  1.6310  1.7961
  82  1.832075  3.8690  3.9199  1.2105  1.8816  1.9838  1.7263  1.5581  1.3913  1.1964  1.0722  1.0727  1.6094  1.7753
  83  1.839392  3.8684  3.9107  1.2189  1.8628  1.9642  1.7051  1.5359  1.3681  1.1719  1.0468  1.0472  1.5876  1.7545
  84  1.846676  3.8677  3.9013  1.2271  1.8444  1.9451  1.6842  1.5138  1.3450  1.1473  1.0211  1.0213  1.5660  1.7341
  85  1.853820  3.8669  3.8916  1.2353  1.8266  1.9265  1.6636  1.4920  1.3219  1.1226  0.9952  0.9953  1.5447  1.7141
  86  1.860857  3.8660  3.8820  1.2432  1.8096  1.9087  1.6436  1.4707  1.2993  1.0982  0.9696  0.9695  1.5240  1.6947
  87  1.867713  3.8651  3.8724  1.2508  1.7935  1.8918  1.6244  1.4500  1.2773  1.0743  0.9443  0.9440  1.5040  1.6761
  88  1.874322  3.8642  3.8628  1.2580  1.7784  1.8760  1.6060  1.4302  1.2559  1.0509  0.9195  0.9190  1.4847  1.6585
  89  1.880686  3.8631  3.8533  1.2649  1.7645  1.8613  1.5886  1.4111  1.2352  1.0280  0.8952  0.8944  1.4664  1.6419
  90  1.886808  3.8621  3.8440  1.2714  1.7515  1.8476  1.5721  1.3929  1.2153  1.0059  0.8714  0.8704  1.4489  1.6261
  91  1.892664  3.8610  3.8348  1.2776  1.7396  1.8350  1.5565  1.3755  1.1961  0.9844  0.8483  0.8470  1.4323  1.6113
  92  1.898227  3.8598  3.8256  1.2834  1.7289  1.8236  1.5419  1.3590  1.1778  0.9636  0.8257  0.8242  1.4166  1.5976
  93  1.903541  3.8586  3.8165  1.2889  1.7192  1.8132  1.5282  1.3432  1.1600  0.9433  0.8035  0.8017  1.4017  1.5848
  94  1.908719  3.8574  3.8074  1.2941  1.7101  1.8034  1.5149  1.3279  1.1427  0.9233  0.7816  0.7795  1.3872  1.5725
  95  1.913775  3.8561  3.7984  1.2992  1.7017  1.7941  1.5021  1.3130  1.1258  0.9035  0.7599  0.7575  1.3732  1.5607
  96  1.918727  3.8548  3.7892  1.3042  1.6938  1.7854  1.4897  1.2984  1.1091  0.8839  0.7382  0.7355  1.3595  1.5493
  97  1.923614  3.8534  3.7800  1.3090  1.6863  1.7770  1.4775  1.2840  1.0925  0.8643  0.7165  0.7135  1.3461  1.5381
  98  1.928463  3.8520  3.7706  1.3139  1.6790  1.7687  1.4654  1.2696  1.0758  0.8446  0.6946  0.6912  1.3326  1.5270
  99  1.933316  3.8506  3.7613  1.3188  1.6719  1.7606  1.4533  1.2552  1.0592  0.8249  0.6726  0.6689  1.3192  1.5160
 100  1.938199  3.8492  3.7518  1.3237  1.6647  1.7523  1.4411  1.2407  1.0424  0.8050  0.6506  0.6465  1.3056  1.5049
 101  1.943097  3.8478  3.7422  1.3288  1.6572  1.7436  1.4285  1.2257  1.0253  0.7848  0.6281  0.6237  1.2916  1.4934
 102  1.948060  3.8465  3.7326  1.3341  1.6489  1.7342  1.4153  1.2103  1.0077  0.7643  0.6054  0.6007  1.2771  1.4812
 103  1.953118  3.8452  3.7232  1.3398  1.6395  1.7236  1.4012  1.1943  0.9898  0.7435  0.5828  0.5777  1.2619  1.4681
 104  1.958109  3.8442  3.7142  1.3459  1.6282  1.7112  1.3860  1.1775  0.9714  0.7229  0.5606  0.5553  1.2457  1.4537
 105  1.962792  3.8437  3.7065  1.3524  1.6144  1.6965  1.3698  1.1604  0.9534  0.7037  0.5405  0.5350  1.2290  1.4379
 106  1.966732  3.8436  3.7008  1.3588  1.5988  1.6803  1.3536  1.1443  0.9373  0.6876  0.5244  0.5189  1.2129  1.4217
 107  1.969749  3.8441  3.6975  1.3647  1.5825  1.6638  1.3386  1.1302  0.9241  0.6755  0.5131  0.5078  1.1984  1.4063
 108  1.972093  3.8450  3.6960  1.3701  1.5662  1.6474  1.3248  1.1179  0.9132  0.6665  0.5056  0.5004  1.1855  1.3918
 109  1.973915  3.8460  3.6956  1.3751  1.5503  1.6316  1.3121  1.1070  0.9041  0.6597  0.5005  0.4957  1.1739  1.3782
 110  1.975351  3.8472  3.6961  1.3797  1.5347  1.6162  1.3003  1.0973  0.8964  0.6547  0.4975  0.4929  1.1633  1.3654
 111  1.976474  3.8485  3.6972  1.3840  1.5196  1.6014  1.2893  1.0885  0.8898  0.6510  0.4959  0.4916  1.1536  1.3533
 112  1.976778  3.8489  3.6976  1.3852  1.5151  1.5969  1.2860  1.0859  0.8879  0.6500  0.4956  0.4915  1.1507  1.3497
 113  1.977081  3.8494  3.6982  1.3867  1.5098  1.5918  1.2823  1.0831  0.8859  0.6492  0.4956  0.4915  1.1476  1.3457
 114  1.977384  3.8498  3.6988  1.3880  1.5050  1.5870  1.2789  1.0805  0.8840  0.6483  0.4954  0.4915  1.1446  1.3418
