#NUMBER OF AGES=1 
#----------------------------------------------------       
#MIX-LEN  Y      Z          Zeff        [Fe/H] [a/Fe]
# 1.9380  0.2478 1.7242E-03 1.7242E-03  -1.00   0.00
#----------------------------------------------------       
#**PHOTOMETRIC SYSTEM**: Bessell UBV(RI)c + 2MASS JHKs + Kepler (Vega)
#----------------------------------------------------       

#AGE= 0.500 EEPS=365
#EEP   M/Mo    LogTeff  LogG   LogL/Lo U       B       V       R       I       J       H       Ks      Kp      D51     
  42  1.647156  4.0194  4.4790  1.2066  1.9370  2.1395  2.1204  2.1253  2.1447  2.1588  2.1908  2.1916  2.0954  2.0969
  43  1.662121  4.0224  4.4761  1.2253  1.8928  2.1045  2.0888  2.0948  2.1157  2.1331  2.1660  2.1675  2.0641  2.0649
  44  1.674560  4.0248  4.4733  1.2411  1.8555  2.0747  2.0617  2.0686  2.0907  2.1107  2.1444  2.1464  2.0373  2.0375
  45  1.689194  4.0276  4.4703  1.2589  1.8137  2.0415  2.0315  2.0394  2.0629  2.0859  2.1203  2.1231  2.0074  2.0070
  46  1.715213  4.0323  4.4658  1.2890  1.7435  1.9858  1.9808  1.9904  2.0161  2.0441  2.0798  2.0838  1.9571  1.9559
  47  1.752031  4.0387  4.4573  1.3322  1.6432  1.9051  1.9064  1.9180  1.9467  1.9814  2.0188  2.0244  1.8832  1.8808
  48  1.778359  4.0431  4.4499  1.3638  1.5701  1.8457  1.8510  1.8640  1.8947  1.9339  1.9724  1.9792  1.8283  1.8250
  49  1.800880  4.0468  4.4430  1.3908  1.5076  1.7944  1.8030  1.8171  1.8494  1.8924  1.9319  1.9396  1.7806  1.7767
  50  1.819889  4.0496  4.4364  1.4134  1.4552  1.7508  1.7619  1.7769  1.8105  1.8563  1.8965  1.9050  1.7398  1.7354
  51  1.835826  4.0519  4.4302  1.4325  1.4109  1.7135  1.7265  1.7421  1.7767  1.8248  1.8655  1.8746  1.7046  1.6998
  52  1.846130  4.0532  4.4258  1.4447  1.3824  1.6891  1.7033  1.7193  1.7544  1.8039  1.8449  1.8544  1.6815  1.6764
  53  1.856208  4.0545  4.4214  1.4566  1.3544  1.6651  1.6803  1.6967  1.7324  1.7831  1.8245  1.8343  1.6586  1.6534
  54  1.866188  4.0557  4.4168  1.4684  1.3267  1.6413  1.6574  1.6741  1.7104  1.7623  1.8040  1.8141  1.6359  1.6304
  55  1.876250  4.0570  4.4121  1.4804  1.2988  1.6171  1.6342  1.6513  1.6881  1.7413  1.7832  1.7936  1.6128  1.6071
  56  1.886451  4.0581  4.4071  1.4923  1.2707  1.5926  1.6106  1.6280  1.6653  1.7196  1.7618  1.7726  1.5893  1.5834
  57  1.896802  4.0593  4.4020  1.5045  1.2419  1.5674  1.5864  1.6041  1.6419  1.6973  1.7398  1.7509  1.5651  1.5591
  58  1.907351  4.0604  4.3965  1.5170  1.2125  1.5416  1.5615  1.5795  1.6178  1.6744  1.7171  1.7285  1.5403  1.5341
  59  1.917985  4.0615  4.3909  1.5294  1.1832  1.5156  1.5364  1.5547  1.5935  1.6511  1.6941  1.7058  1.5153  1.5090
  60  1.928652  4.0625  4.3850  1.5418  1.1537  1.4894  1.5109  1.5295  1.5688  1.6274  1.6706  1.6826  1.4900  1.4834
  61  1.939280  4.0635  4.3789  1.5541  1.1243  1.4630  1.4852  1.5041  1.5438  1.6033  1.6468  1.6590  1.4644  1.4577
  62  1.949841  4.0644  4.3725  1.5665  1.0947  1.4363  1.4593  1.4783  1.5185  1.5789  1.6225  1.6351  1.4385  1.4317
  63  1.960476  4.0652  4.3658  1.5789  1.0649  1.4092  1.4328  1.4521  1.4927  1.5538  1.5976  1.6104  1.4121  1.4052
  64  1.971162  4.0660  4.3588  1.5913  1.0348  1.3816  1.4058  1.4253  1.4663  1.5282  1.5721  1.5852  1.3852  1.3781
  65  1.981907  4.0667  4.3515  1.6039  1.0044  1.3535  1.3783  1.3980  1.4393  1.5019  1.5460  1.5593  1.3578  1.3506
  66  1.992718  4.0674  4.3439  1.6165  0.9737  1.3250  1.3503  1.3702  1.4118  1.4751  1.5193  1.5328  1.3298  1.3226
  67  2.003607  4.0680  4.3360  1.6292  0.9427  1.2959  1.3217  1.3418  1.3838  1.4475  1.4919  1.5056  1.3013  1.2940
  68  2.014376  4.0685  4.3278  1.6418  0.9117  1.2667  1.2929  1.3131  1.3554  1.4197  1.4642  1.4780  1.2726  1.2652
  69  2.025218  4.0690  4.3193  1.6545  0.8806  1.2372  1.2637  1.2840  1.3266  1.3913  1.4359  1.4499  1.2435  1.2359
  70  2.035975  4.0694  4.3106  1.6670  0.8496  1.2075  1.2343  1.2548  1.2976  1.3626  1.4073  1.4215  1.2142  1.2066
  71  2.046661  4.0697  4.3017  1.6795  0.8186  1.1776  1.2047  1.2253  1.2684  1.3337  1.3784  1.3927  1.1846  1.1770
  72  2.057316  4.0699  4.2924  1.6919  0.7875  1.1475  1.1748  1.1955  1.2388  1.3043  1.3490  1.3634  1.1548  1.1471
  73  2.067923  4.0701  4.2829  1.7043  0.7564  1.1171  1.1446  1.1653  1.2088  1.2744  1.3191  1.3337  1.1246  1.1169
  74  2.078536  4.0702  4.2731  1.7167  0.7251  1.0863  1.1139  1.1347  1.1783  1.2440  1.2888  1.3034  1.0940  1.0862
  75  2.089077  4.0701  4.2628  1.7291  0.6936  1.0550  1.0827  1.1035  1.1472  1.2128  1.2575  1.2723  1.0628  1.0550
