#NUMBER OF AGES=1 MAGS=10
#----------------------------------------------------       
#MIX-LEN  Y      Z          Zeff        [Fe/H] [a/Fe]
# 1.9380  0.3300 1.5308E-03 1.5308E-03  -1.00   0.00
#----------------------------------------------------       
#**PHOTOMETRIC SYSTEM**: Bessell UBV(RI)c + 2MASS JHKs + Kepler (Vega)
#----------------------------------------------------  
#AGE= 1.750 EEPS=275
#EEP   M/Mo    LogTeff  LogG   LogL/Lo U       B       V       R       I       J       H       Ks      Kp      D51     
  44  0.755612  3.8063  4.6011 -0.1063  5.3023  5.5331  5.1005  4.8224  4.5391  4.1812  3.9217  3.8985  4.9150  5.1949
  45  0.766631  3.8099  4.5905 -0.0750  5.2087  5.4430  5.0209  4.7485  4.4708  4.1210  3.8682  3.8461  4.8391  5.1123
  46  0.777645  3.8134  4.5798 -0.0441  5.1184  5.3552  4.9427  4.6758  4.4034  4.0614  3.8149  3.7939  4.7645  5.0313
  47  0.788825  3.8168  4.5687 -0.0131  5.0289  5.2669  4.8639  4.6026  4.3354  4.0011  3.7609  3.7410  4.6894  4.9499
  48  0.800128  3.8203  4.5574  0.0184  4.9397  5.1776  4.7840  4.5284  4.2667  3.9401  3.7066  3.6876  4.6132  4.8672
  49  0.810966  3.8237  4.5464  0.0488  4.8549  5.0914  4.7066  4.4565  4.2002  3.8810  3.6541  3.6358  4.5394  4.7871
  50  0.821200  3.8269  4.5357  0.0776  4.7754  5.0098  4.6331  4.3883  4.1372  3.8249  3.6042  3.5865  4.4694  4.7111
  51  0.831310  3.8300  4.5252  0.1059  4.6977  4.9299  4.5611  4.3213  4.0754  3.7699  3.5552  3.5381  4.4006  4.6366
  52  0.837926  3.8321  4.5185  0.1243  4.6477  4.8782  4.5144  4.2780  4.0354  3.7344  3.5237  3.5070  4.3561  4.5883
  53  0.844864  3.8342  4.5118  0.1432  4.5964  4.8246  4.4660  4.2332  3.9941  3.6979  3.4916  3.4752  4.3100  4.5382
  54  0.852254  3.8366  4.5051  0.1631  4.5429  4.7683  4.4152  4.1862  3.9509  3.6600  3.4584  3.4423  4.2617  4.4855
  55  0.860349  3.8392  4.4982  0.1845  4.4857  4.7076  4.3605  4.1357  3.9048  3.6196  3.4233  3.4075  4.2098  4.4288
  56  0.868918  3.8420  4.4914  0.2068  4.4260  4.6440  4.3032  4.0831  3.8569  3.5778  3.3873  3.3718  4.1555  4.3693
  57  0.877611  3.8449  4.4849  0.2292  4.3665  4.5799  4.2455  4.0303  3.8092  3.5362  3.3518  3.3364  4.1010  4.3095
  58  0.886118  3.8477  4.4787  0.2511  4.3102  4.5170  4.1895  3.9795  3.7636  3.4965  3.3180  3.3029  4.0484  4.2511
  59  0.894153  3.8505  4.4729  0.2717  4.2580  4.4575  4.1367  3.9318  3.7210  3.4593  3.2864  3.2717  3.9988  4.1960
  60  0.901474  3.8529  4.4675  0.2905  4.2105  4.4031  4.0884  3.8882  3.6821  3.4253  3.2575  3.2432  3.9535  4.1456
  61  0.908171  3.8552  4.4625  0.3078  4.1670  4.3533  4.0439  3.8480  3.6462  3.3939  3.2308  3.2167  3.9118  4.0992
  62  0.914449  3.8573  4.4576  0.3241  4.1259  4.3065  4.0020  3.8100  3.6122  3.3642  3.2055  3.1916  3.8724  4.0556
  63  0.920424  3.8593  4.4530  0.3396  4.0849  4.2625  3.9619  3.7731  3.5786  3.3352  3.1809  3.1668  3.8343  4.0141
  64  0.926174  3.8613  4.4485  0.3546  4.0452  4.2201  3.9232  3.7373  3.5461  3.3073  3.1573  3.1429  3.7976  3.9740
  65  0.931781  3.8632  4.4443  0.3693  4.0065  4.1789  3.8854  3.7024  3.5145  3.2802  3.1344  3.1198  3.7617  3.9349
  66  0.937283  3.8652  4.4403  0.3836  3.9686  4.1384  3.8484  3.6683  3.4837  3.2538  3.1123  3.0974  3.7266  3.8965
  67  0.942739  3.8672  4.4366  0.3978  3.9313  4.0982  3.8117  3.6347  3.4535  3.2281  3.0909  3.0757  3.6919  3.8586
  68  0.948173  3.8692  4.4331  0.4119  3.8945  4.0583  3.7754  3.6016  3.4239  3.2030  3.0702  3.0547  3.6577  3.8208
  69  0.953576  3.8713  4.4300  0.4258  3.8600  4.0179  3.7395  3.5696  3.3960  3.1794  3.0508  3.0354  3.6243  3.7832
  70  0.958839  3.8734  4.4273  0.4393  3.8268  3.9784  3.7046  3.5387  3.3694  3.1568  3.0325  3.0172  3.5919  3.7466
  71  0.963967  3.8755  4.4248  0.4525  3.7946  3.9399  3.6706  3.5089  3.3438  3.1353  3.0152  3.0001  3.5605  3.7109
  72  0.968951  3.8776  4.4227  0.4653  3.7634  3.9024  3.6376  3.4800  3.3192  3.1147  2.9988  2.9838  3.5301  3.6762
  73  0.973798  3.8797  4.4208  0.4777  3.7329  3.8659  3.6055  3.4519  3.2954  3.0948  2.9832  2.9683  3.5005  3.6425
  74  0.978530  3.8818  4.4192  0.4899  3.7022  3.8305  3.5742  3.4243  3.2717  3.0754  2.9679  2.9530  3.4715  3.6097
  75  0.983147  3.8839  4.4177  0.5017  3.6711  3.7963  3.5437  3.3970  3.2481  3.0562  2.9529  2.9378  3.4430  3.5778
  76  0.987689  3.8859  4.4163  0.5133  3.6404  3.7629  3.5137  3.3702  3.2249  3.0375  2.9383  2.9230  3.4151  3.5466
  77  0.992160  3.8880  4.4151  0.5248  3.6100  3.7301  3.4843  3.3438  3.2021  3.0191  2.9239  2.9085  3.3876  3.5159
  78  0.996578  3.8900  4.4139  0.5361  3.5799  3.6978  3.4554  3.3178  3.1797  3.0010  2.9098  2.8941  3.3606  3.4857
  79  1.000962  3.8920  4.4127  0.5473  3.5502  3.6658  3.4267  3.2922  3.1576  2.9832  2.8959  2.8800  3.3338  3.4559
  80  1.005305  3.8941  4.4115  0.5584  3.5217  3.6341  3.3985  3.2674  3.1365  2.9660  2.8824  2.8665  3.3077  3.4264
  81  1.009583  3.8961  4.4105  0.5693  3.4937  3.6029  3.3709  3.2430  3.1159  2.9493  2.8693  2.8535  3.2821  3.3974
  82  1.013845  3.8981  4.4094  0.5802  3.4661  3.5718  3.3434  3.2189  3.0956  2.9329  2.8564  2.8407  3.2567  3.3686
  83  1.018013  3.9000  4.4084  0.5908  3.4391  3.5415  3.3166  3.1955  3.0760  2.9169  2.8439  2.8282  3.2320  3.3405
  84  1.022095  3.9020  4.4074  0.6012  3.4129  3.5118  3.2905  3.1727  3.0569  2.9013  2.8317  2.8161  3.2079  3.3131
  85  1.026089  3.9038  4.4064  0.6114  3.3872  3.4829  3.2650  3.1504  3.0382  2.8861  2.8197  2.8042  3.1844  3.2864
  86  1.030001  3.9056  4.4053  0.6214  3.3621  3.4545  3.2401  3.1286  3.0200  2.8712  2.8081  2.7925  3.1613  3.2602
  87  1.033838  3.9074  4.4042  0.6311  3.3376  3.4268  3.2157  3.1073  3.0021  2.8567  2.7966  2.7811  3.1388  3.2347
  88  1.037597  3.9091  4.4030  0.6407  3.3135  3.3997  3.1919  3.0865  2.9846  2.8423  2.7853  2.7698  3.1168  3.2097
  89  1.041291  3.9107  4.4018  0.6500  3.2900  3.3732  3.1686  3.0660  2.9674  2.8282  2.7740  2.7585  3.0952  3.1853
  90  1.044920  3.9123  4.4005  0.6591  3.2668  3.3475  3.1458  3.0460  2.9506  2.8142  2.7628  2.7474  3.0740  3.1615
  91  1.048483  3.9138  4.3991  0.6681  3.2441  3.3223  3.1235  3.0263  2.9340  2.8004  2.7516  2.7363  3.0533  3.1382
  92  1.051979  3.9153  4.3977  0.6769  3.2218  3.2979  3.1017  3.0070  2.9177  2.7868  2.7406  2.7252  3.0331  3.1154
  93  1.055376  3.9167  4.3963  0.6854  3.2001  3.2743  3.0806  2.9883  2.9019  2.7735  2.7296  2.7144  3.0135  3.0935
  94  1.058666  3.9181  4.3948  0.6936  3.1791  3.2515  3.0603  2.9703  2.8866  2.7605  2.7189  2.7037  2.9945  3.0723
  95  1.061859  3.9194  4.3932  0.7016  3.1588  3.2295  3.0407  2.9529  2.8718  2.7479  2.7083  2.6932  2.9762  3.0519
  96  1.064953  3.9206  4.3917  0.7094  3.1391  3.2083  3.0217  2.9360  2.8574  2.7356  2.6980  2.6829  2.9585  3.0321
  97  1.067955  3.9218  4.3901  0.7169  3.1201  3.1877  3.0035  2.9197  2.8434  2.7236  2.6879  2.6729  2.9414  3.0131
  98  1.070874  3.9229  4.3885  0.7243  3.1015  3.1678  2.9858  2.9039  2.8299  2.7119  2.6779  2.6629  2.9249  2.9947
  99  1.073712  3.9240  4.3868  0.7314  3.0835  3.1484  2.9687  2.8887  2.8166  2.7005  2.6681  2.6531  2.9088  2.9769
 100  1.076476  3.9251  4.3852  0.7385  3.0660  3.1295  2.9521  2.8738  2.8037  2.6893  2.6584  2.6435  2.8931  2.9596
 101  1.079184  3.9261  4.3836  0.7453  3.0489  3.1110  2.9359  2.8594  2.7911  2.6784  2.6490  2.6341  2.8779  2.9428
 102  1.081837  3.9271  4.3818  0.7521  3.0321  3.0929  2.9202  2.8453  2.7788  2.6677  2.6396  2.6247  2.8629  2.9263
 103  1.084451  3.9281  4.3801  0.7588  3.0156  3.0751  2.9047  2.8315  2.7666  2.6572  2.6303  2.6155  2.8483  2.9102
 104  1.087037  3.9291  4.3785  0.7654  2.9994  3.0575  2.8895  2.8179  2.7547  2.6468  2.6212  2.6064  2.8339  2.8944
 105  1.089600  3.9300  4.3767  0.7719  2.9833  3.0401  2.8746  2.8046  2.7428  2.6365  2.6121  2.5972  2.8197  2.8788
 106  1.092144  3.9309  4.3749  0.7785  2.9675  3.0229  2.8599  2.7914  2.7311  2.6263  2.6029  2.5881  2.8056  2.8634
 107  1.094657  3.9319  4.3732  0.7849  2.9517  3.0059  2.8453  2.7784  2.7195  2.6163  2.5940  2.5792  2.7918  2.8482
 108  1.097140  3.9328  4.3715  0.7914  2.9359  2.9891  2.8309  2.7655  2.7080  2.6062  2.5850  2.5702  2.7780  2.8332
 109  1.099593  3.9337  4.3697  0.7978  2.9203  2.9723  2.8166  2.7526  2.6965  2.5963  2.5760  2.5612  2.7643  2.8182
 110  1.102024  3.9347  4.3680  0.8043  2.9046  2.9556  2.8023  2.7398  2.6852  2.5864  2.5672  2.5524  2.7507  2.8033
 111  1.104442  3.9356  4.3663  0.8108  2.8889  2.9390  2.7881  2.7271  2.6738  2.5765  2.5583  2.5436  2.7371  2.7885
 112  1.107594  3.9369  4.3640  0.8193  2.8681  2.9171  2.7693  2.7102  2.6588  2.5634  2.5465  2.5318  2.7192  2.7690
 113  1.110791  3.9381  4.3615  0.8281  2.8469  2.8948  2.7501  2.6930  2.6433  2.5498  2.5342  2.5196  2.7008  2.7490
 114  1.114024  3.9394  4.3589  0.8370  2.8251  2.8722  2.7306  2.6753  2.6274  2.5359  2.5215  2.5070  2.6821  2.7288
 115  1.117284  3.9407  4.3561  0.8461  2.8029  2.8492  2.7108  2.6573  2.6112  2.5216  2.5085  2.4941  2.6630  2.7082
 116  1.120560  3.9419  4.3532  0.8554  2.7804  2.8261  2.6906  2.6390  2.5946  2.5069  2.4950  2.4807  2.6437  2.6873
 117  1.123843  3.9432  4.3500  0.8647  2.7575  2.8028  2.6702  2.6202  2.5776  2.4918  2.4811  2.4669  2.6239  2.6662
 118  1.127125  3.9444  4.3467  0.8742  2.7344  2.7794  2.6495  2.6013  2.5603  2.4763  2.4668  2.4527  2.6041  2.6449
 119  1.130394  3.9456  4.3433  0.8837  2.7111  2.7561  2.6288  2.5821  2.5428  2.4606  2.4521  2.4382  2.5840  2.6235
 120  1.133643  3.9467  4.3396  0.8932  2.6878  2.7327  2.6079  2.5628  2.5251  2.4445  2.4371  2.4234  2.5638  2.6021
 121  1.136862  3.9479  4.3358  0.9027  2.6645  2.7094  2.5871  2.5434  2.5072  2.4283  2.4219  2.4083  2.5436  2.5807
 122  1.140045  3.9489  4.3319  0.9121  2.6412  2.6863  2.5662  2.5239  2.4892  2.4119  2.4065  2.3931  2.5234  2.5594
 123  1.143184  3.9500  4.3279  0.9215  2.6181  2.6634  2.5455  2.5045  2.4712  2.3954  2.3909  2.3777  2.5033  2.5382
 124  1.146278  3.9510  4.3238  0.9308  2.5951  2.6407  2.5250  2.4852  2.4532  2.3789  2.3753  2.3622  2.4833  2.5172
 125  1.149318  3.9520  4.3196  0.9400  2.5724  2.6183  2.5046  2.4660  2.4353  2.3624  2.3596  2.3467  2.4634  2.4964
 126  1.152307  3.9529  4.3152  0.9491  2.5498  2.5961  2.4843  2.4468  2.4174  2.3457  2.3437  2.3310  2.4436  2.4757
 127  1.155261  3.9538  4.3107  0.9583  2.5272  2.5739  2.4639  2.4275  2.3992  2.3289  2.3276  2.3150  2.4237  2.4550
