#Primary Amplitude    Error                    Width     Secondary Amp         Error                   SWidth
0.7646396637267874   0.0030664572061772713     11.0      0.8417152264206508     0.00320281009411579    11.0 
0.6593960548561776   0.006690416822167103      11.0      0.2595329203819834     0.00493393575119508    11.0 
0.7753087435462144   0.003852856189577748      11.0      0.9120500793174993     0.00320895696234503    11.0 
0.733526893203007    0.003066457200224467      11.0      0.7876516953271498     0.00320281007796373    11.0 
0.7806112722475484   0.0030664614402700096     11.0      0.8850292556873914     0.00320281058089680    11.0 
0.7367024109683701   0.0030664572045395366     11.0      0.7982526972975073     0.00320281010528504    11.0 
0.6586996703164485   0.0031583855137584517     11.0      0.8033130462604989     0.00330594682884879    11.0 
0.6865630514355852   0.00306782824774172       11.0      0.8333385939997859     0.00320408856522686    11.0 
0.7312334883961001   0.0030877396697830454     11.0      0.8524793318614288     0.00322483965478756    11.0 
0.1254007438843307   0.0030665793502497266     11.0      1.0236801280053585     0.00320281005897045    11.0 
0.7738886199647669   0.0030665453407669424     11.0      0.8430105113656868     0.00320297597703500    11.0 
0.8263067486830767   0.0030664572049991113     11.0      0.8988427429870902     0.00320281007909870    11.0 
0.6949415604841024   0.0030979706075947785     11.0      0.7938543721948772     0.00323051408241322    11.0 
0.2195138306005365   0.003617394017833016      11.0      0.7435186459218893     0.00503828071571201    11.0 
0.9308747976001109   0.0030731439325264623     11.0      0.9239225619476646     0.00321210762032553    11.0 
0.7855637622426505   0.003066457204282435      11.0      0.8487206307448579     0.00320281008029329    11.0 
0.1407927295456224   0.003066579350343832      11.0      0.9264309230843495     0.00409417111476792    11.0 
0.709134801714999    0.004095405528667117      11.0      0.8514467189038111     0.00323148077317300    11.0 
0.7452405222987086   0.0030695226267115397     11.0      0.9246323447360167     0.00320367978843507    11.0 
0.7174096975787189   0.003979522598061849      11.0      0.8604080278395518     0.00324256822004899    11.0 
0.1960616042534547   0.00538297222444381       11.0      0.2856002835524432     0.00989229973947229    11.0 
0.7248945372349506   0.003158376682604446      11.0      0.7878617225591249     0.00334506605061032    11.0 
